Cancer_Type,N,CLOCK16_Mutated,CLOCK16_Wild_Type,Prevalence,Prevalence_Percent,CI95_Low,CI95_High,CI95_Low_Percent,CI95_High_Percent
skin cutaneous melanoma,104,33,71,0.3173076923076923,31.73076923076923,0.23573019790441693,0.41190114287687707,23.573019790441695,41.190114287687706
bladder urothelial carcinoma,412,116,296,0.2815533980582524,28.155339805825243,0.24029590081164753,0.32684697282100483,24.029590081164752,32.68469728210049
uterine corpus endometrioid carcinoma,547,154,393,0.28153564899451555,28.153564899451556,0.24546951546400794,0.3206489476295564,24.546951546400795,32.064894762955646
stomach adenocarcinoma,478,105,373,0.2196652719665272,21.96652719665272,0.18486488025138625,0.25893573804309056,18.486488025138627,25.893573804309057
lung squamous cell carcinoma,506,107,399,0.21146245059288538,21.14624505928854,0.1781240164686052,0.24914908168580197,17.812401646860522,24.914908168580197
cervical & endocervical cancer,308,62,246,0.2012987012987013,20.12987012987013,0.1603222849686403,0.24963456491925154,16.03222849686403,24.963456491925154
lung adenocarcinoma,520,90,430,0.17307692307692307,17.307692307692307,0.14298857310078236,0.20796026334137876,14.298857310078237,20.796026334137878
esophageal carcinoma,185,31,154,0.16756756756756758,16.756756756756758,0.12063341342339436,0.22802705121998934,12.063341342339436,22.802705121998933
colon adenocarcinoma,461,76,385,0.1648590021691974,16.48590021691974,0.13378337254933395,0.20147405707830693,13.378337254933395,20.147405707830693
liver hepatocellular carcinoma,377,53,324,0.14058355437665782,14.058355437665782,0.10911103409005873,0.1793070378852717,10.911103409005873,17.93070378852717
head & neck squamous cell carcinoma,528,72,456,0.13636363636363635,13.636363636363635,0.10970603416318787,0.16827447732745143,10.970603416318788,16.827447732745142
kidney papillary cell carcinoma,291,38,253,0.13058419243986255,13.058419243986256,0.09663642002382761,0.17415847459077227,9.66364200238276,17.415847459077227
uterine carcinosarcoma,57,5,52,0.08771929824561403,8.771929824561402,0.038051110766638294,0.18945112454604246,3.805111076663829,18.945112454604246
adrenocortical cancer,92,7,85,0.07608695652173914,7.608695652173914,0.03734308465448332,0.1488140746583829,3.734308465448332,14.88140746583829
sarcoma,261,19,242,0.07279693486590039,7.2796934865900385,0.04709583632687426,0.1108914285136946,4.709583632687426,11.08914285136946
diffuse large B-cell lymphoma,48,3,45,0.0625,6.25,0.021482843131227225,0.1683569766274222,2.1482843131227227,16.83569766274222
rectum adenocarcinoma,167,9,158,0.05389221556886228,5.389221556886228,0.028608433467822457,0.0992386482733928,2.8608433467822456,9.92386482733928
breast invasive carcinoma,1101,58,1043,0.05267938237965486,5.267938237965486,0.040970533588768565,0.06749895199178886,4.097053358876856,6.749895199178886
kidney clear cell carcinoma,536,26,510,0.048507462686567165,4.850746268656716,0.033314773596759585,0.07012593938275144,3.3314773596759584,7.012593938275144
prostate adenocarcinoma,498,23,475,0.04618473895582329,4.618473895582329,0.03096954407484798,0.06834785009893116,3.096954407484798,6.834785009893116
kidney chromophobe,66,3,63,0.045454545454545456,4.545454545454546,0.015577991894810295,0.1253351601521073,1.5577991894810295,12.53351601521073
thymoma,124,5,119,0.04032258064516129,4.032258064516129,0.017344082793805525,0.09092740317007475,1.7344082793805524,9.092740317007475
testicular germ cell tumor,150,6,144,0.04,4.0,0.018458908886903574,0.08451453912715763,1.8458908886903576,8.451453912715763
pancreatic adenocarcinoma,185,7,178,0.03783783783783784,3.783783783783784,0.018447194892158517,0.07603198766083828,1.8447194892158518,7.603198766083828
glioblastoma multiforme,594,22,572,0.037037037037037035,3.7037037037037033,0.024583798082062982,0.055440074462102557,2.458379808206298,5.544007446210256
mesothelioma,87,3,84,0.034482758620689655,3.4482758620689653,0.011795606761416902,0.09654242339216913,1.1795606761416901,9.654242339216914
pheochromocytoma & paraganglioma,179,5,174,0.027932960893854747,2.793296089385475,0.011988873582240142,0.06371381114596174,1.1988873582240143,6.371381114596174
cholangiocarcinoma,36,1,35,0.027777777777777776,2.7777777777777777,0.004920280295569679,0.141700337350308,0.4920280295569679,14.170033735030799
brain lower grade glioma,516,13,503,0.025193798449612403,2.5193798449612403,0.014781319406892365,0.04262385940142155,1.4781319406892364,4.262385940142154
uveal melanoma,80,2,78,0.025,2.5,0.006882748898125228,0.08664600055322111,0.6882748898125228,8.664600055322111
thyroid carcinoma,507,6,501,0.011834319526627219,1.183431952662722,0.005434677917638086,0.02557610898773532,0.5434677917638085,2.557610898773532
ovarian serous cystadenocarcinoma,592,5,587,0.008445945945945946,0.8445945945945946,0.003612791062592862,0.019617543979472008,0.3612791062592862,1.9617543979472007
