gene	Nonsynonymous_Rows	Nonsynonymous_Patients	SIFT_Deleterious_Rows	PolyPhen_Damaging_Rows	Either_Damaging_Rows	Both_Damaging_Rows	Either_Damaging_Patients
PER1	160	130	77	83	99	61	90
PER3	148	126	60	77	91	46	79
PER2	161	134	78	72	87	63	79
TIMELESS	158	139	67	65	78	54	71
NPAS2	119	101	60	59	72	47	64
CLOCK	96	83	46	42	54	34	50
RORB	81	76	51	41	53	39	49
CRY1	76	66	38	45	50	33	47
CRY2	72	67	49	31	50	30	47
NR1D2	71	64	45	41	47	39	42
CSNK1E	65	61	41	32	44	29	41
RORC	76	72	40	31	41	30	39
CSNK1D	52	50	39	34	40	33	38
ARNTL	66	59	33	34	38	29	34
RORA	78	72	27	22	30	19	29
NR1D1	57	55	25	23	26	22	26
