Gene	N	Mutated_Patients	Wild_Type_Patients	OR_per_log1p_non_CLOCK16_mutation	CI95_Low	CI95_High	Beta	SE	Firth_LR_Statistic	Firth_LR_P	Direction	Median_log1p_Burden_Mutated	Median_log1p_Burden_WT	Full_Model_Fitted	Reduced_Model_Fitted	Full_Iterations	Reduced_Iterations	FDR	Significant_FDR_0.05
PER3	10593	172	10421	3.7068479410934945	3.20042188125553	4.293409484189183	1.310181903929784	0.0749486045518374	476.34402423462507	1.3343879338833293e-105	Positive	7.168959026092845	4.110873864173311	True	True	1	1	2.135020694213327e-104	True
NPAS2	10593	159	10434	3.4509713003155538	2.976086279038871	4.0016322777603435	1.2386557277427035	0.07553398958141987	403.9020388041056	7.789687334887651e-90	Positive	7.161622002939187	4.110873864173311	True	True	1	1	6.231749867910121e-89	True
PER2	10593	182	10411	3.034818609867643	2.6615657826425703	3.460415690216224	1.1101516566191836	0.06695768720153325	396.5978345426938	3.0307570370777e-88	Positive	6.887042107097564	4.110873864173311	True	True	1	1	1.6164037531081067e-87	True
PER1	10593	169	10424	3.0500077985177394	2.6645896056534726	3.4911746076325483	1.1151441475071135	0.0689255591193343	378.15158780380216	3.143345891161813e-84	Positive	6.897704943128636	4.110873864173311	True	True	1	1	1.2573383564647252e-83	True
TIMELESS	10593	194	10399	2.733779168670417	2.4141327454057775	3.0957487972767344	1.0056849627902051	0.06344125092597525	337.6161833947349	2.1087677054598416e-75	Positive	6.538088510192461	4.110873864173311	True	True	1	1	6.748056657471493e-75	True
CLOCK	10593	128	10465	3.0194675537682727	2.617059291712656	3.4837515287217236	1.1050805091436777	0.07297409667614167	315.60893312767223	1.3103612761957331e-70	Positive	7.154683711616085	4.127134385045092	True	True	1	1	3.494296736521955e-70	True
RORB	10593	140	10453	3.0572583992845224	2.642641340595333	3.5369267771653465	1.1175185664168	0.07435696001614887	313.9295775658444	3.0423540704908077e-70	Positive	6.873137578534722	4.110873864173311	True	False	1	0	6.953952161121847e-70	True
ARNTL	10593	103	10490	3.002586321276868	2.5604985276437495	3.521003632450952	1.0994740243595227	0.08126124870717885	255.66868242253258	1.5089329630699198e-57	Positive	7.301822342137932	4.127134385045092	True	True	1	1	3.0178659261398396e-57	True
RORA	10593	110	10483	2.8751908424010035	2.4680514248769065	3.349493570880069	1.0561190520118278	0.07790311710497749	243.5875800550375	6.493466156570895e-55	Positive	7.0027641283352375	4.127134385045092	True	True	1	1	1.1543939833903815e-54	True
RORC	10593	124	10469	2.5923425980958443	2.259576463197371	2.9741149526725743	0.9525619449469552	0.07009416065830441	241.94572884175966	1.4806648817511585e-54	Positive	6.978004809952195	4.127134385045092	True	True	1	1	2.3690638108018535e-54	True
CRY1	10593	97	10496	2.989073468173249	2.547147352979436	3.507673078939217	1.0949634625157043	0.08162725237077047	237.3007662560707	1.5250095768947206e-53	Positive	7.00850518208228	4.127134385045092	True	True	1	1	2.2181957482105027e-53	True
NR1D2	10593	84	10509	3.0906415084190013	2.610951030268495	3.6584619254924133	1.128378677264705	0.08605313412599125	215.45858901935662	8.851710581748551e-49	Positive	7.11954104218867	4.127134385045092	True	True	1	1	1.1802280775664735e-48	True
CSNK1E	10593	102	10491	2.772182823508162	2.377801651782853	3.2319758888179537	1.0196350327993338	0.07829522841261652	215.11510626797804	1.0518573409135877e-48	Positive	7.165080030687376	4.127134385045092	True	False	1	0	1.2945936503551848e-48	True
CSNK1D	10593	86	10507	2.7803148989860316	2.3702201147820685	3.2613641616295457	1.0225641943042	0.08141906532364515	198.1007526293239	5.4237522721012646e-45	Positive	7.375904301033786	4.127134385045092	True	True	1	1	6.198574025258588e-45	True
CRY2	10593	91	10502	2.75066697434803	2.3520711900258195	3.2168111389884806	1.0118434183979048	0.07987098007727879	196.0385234310687	1.5288225483058682e-44	Positive	6.996681488176539	4.127134385045092	True	True	1	1	1.6307440515262596e-44	True
NR1D1	10593	78	10515	2.7557870784141065	2.3450140933901484	3.2385146182960085	1.0137030926974178	0.08235289838916221	182.80087981637928	1.185496000749495e-41	Positive	7.26362982262194	4.127134385045092	True	True	1	1	1.185496000749495e-41	True
