Gene	N	Mutated	Wild_Type	Full_Model_Fitted	Reduced_Model_Fitted	Full_LogLik	Reduced_LogLik	LR	LR_P	Status
ARNTL	10593	103	10490	True	True	-357.9580969116801	-485.7924381229464	255.66868242253258	1.5089329630699198e-57	Completed
CLOCK	10593	128	10465	True	True	-447.72983698030083	-605.534303544137	315.60893312767223	1.3103612761957331e-70	Completed
NPAS2	10593	159	10434	True	True	-515.0626227350256	-717.0136421370784	403.9020388041056	7.789687334887651e-90	Completed
PER1	10593	169	10424	True	True	-581.8541194645671	-770.9299133664682	378.15158780380216	3.143345891161813e-84	Completed
PER2	10593	182	10411	True	True	-599.9003515642584	-798.1992688356053	396.5978345426938	3.0307570370777e-88	Completed
PER3	10593	172	10421	True	True	-531.8875908375841	-770.0596029548966	476.34402423462507	1.3343879338833293e-105	Completed
CRY1	10593	97	10496	True	True	-368.60071210822497	-487.2510952362603	237.3007662560707	1.5250095768947206e-53	Completed
CRY2	10593	91	10502	True	True	-359.0041535681923	-457.02341528372665	196.0385234310687	1.5288225483058682e-44	Completed
NR1D1	10593	78	10515	True	True	-309.44707708224297	-400.8475169904326	182.80087981637928	1.185496000749495e-41	Completed
NR1D2	10593	84	10509	True	True	-319.8140453665881	-427.54333987626643	215.45858901935662	8.851710581748551e-49	Completed
RORA	10593	110	10483	True	True	-401.01306214854117	-522.8068521760599	243.5875800550375	6.493466156570895e-55	Completed
RORB	10593	140	10453	True	False	-493.8152726322765	-650.7800614151987	313.9295775658444	3.0423540704908077e-70	Completed
RORC	10593	124	10469	True	True	-463.0145454154895	-583.9874098363694	241.94572884175966	1.4806648817511585e-54	Completed
CSNK1D	10593	86	10507	True	True	-334.99548412835793	-434.0458604430199	198.1007526293239	5.4237522721012646e-45	Completed
CSNK1E	10593	102	10491	True	False	-390.31916996779324	-497.87672310178226	215.11510626797804	1.0518573409135877e-48	Completed
TIMELESS	10593	194	10399	True	True	-687.895839504543	-856.7039312019104	337.6161833947349	2.1087677054598416e-75	Completed
