Cancer_Type	Significant_Gene_Count	Enriched_Gene_Count	Depleted_Gene_Count	Best_FDR	Max_OR	Strongest_Signal	Net_Enrichment
bladder urothelial carcinoma	3	3	0	0.0014028504553264	4.212083333333333	5.671114895813495	3
brain lower grade glioma	2	0	2	0.0244552627610461	0.1124850962357349	5.214654556495579	-2
breast invasive carcinoma	7	0	7	0.0084785084763304	0.3344614558152028	7.231033767872975	-7
colon adenocarcinoma	6	6	0	0.0008716677134803	3.883176124942014	5.988458746957806	6
glioblastoma multiforme	1	0	1	0.0367368927430326	0.0	28.599759499788487	-1
kidney clear cell carcinoma	1	0	1	0.0101384570169228	0.0955304827853372	6.755558019019515	-1
ovarian serous cystadenocarcinoma	10	0	10	0.0012800064446914	0.1960319042871386	57.65779926364783	-10
prostate adenocarcinoma	2	0	2	0.0375882134414961	0.1167708002400367	28.401455062220048	-2
skin cutaneous melanoma	3	3	0	0.0002715255016103	7.490719164323021	10.360151856017236	3
stomach adenocarcinoma	9	9	0	0.0008716677134803	4.32258064516129	6.292452987895966	9
thyroid carcinoma	6	0	6	0.0048522503750081	0.1013025046591165	46.12278173729566	-6
