Cancer_Type	N	Gene1	Gene2	Gene1_Mutated	Gene2_Mutated	Observed_CoMutation	Expected_Independence	Permutation_Expected	Null_SD	Observed_Expected_Ratio	Permutation_Z	Permutation_P	FDR	Direction
uterine corpus endometrioid carcinoma	42	TIMELESS	NPAS2	8	16	4	3.0476190476190474	3.0571	1.258172440402737	1.3084295574237021	0.7494203256416748	0.6912308769123088	1.0	Enriched
uterine corpus endometrioid carcinoma	42	TIMELESS	CRY1	8	9	4	1.7142857142857142	1.7082	1.0637508714880846	2.3416461772626156	2.154451818962079	0.0496950304969503	0.993900609939006	Enriched
uterine corpus endometrioid carcinoma	42	TIMELESS	CRY2	8	9	1	1.7142857142857142	1.7092	1.0558157200399454	0.5850690381465012	-0.6717081272223986	0.6562343765623437	1.0	Depleted
uterine corpus endometrioid carcinoma	42	TIMELESS	ARNTL	8	7	2	1.3333333333333333	1.3414	0.9544302665534928	1.4909795735798421	0.6900451746760354	0.5958404159584042	1.0	Enriched
uterine corpus endometrioid carcinoma	42	TIMELESS	CSNK1D	8	7	1	1.3333333333333333	1.3252	0.9700201306701787	0.7546030787805614	-0.3352507744095187	1.0	1.0	Depleted
uterine corpus endometrioid carcinoma	42	TIMELESS	CSNK1E	8	7	3	1.3333333333333333	1.3243	0.9640655850331059	2.2653477308766896	1.73815975387448	0.11208879112088792	1.0	Enriched
uterine corpus endometrioid carcinoma	42	TIMELESS	PER1	8	13	2	2.4761904761904763	2.47	1.1942540032432072	0.8097165991902834	-0.39355111954712513	1.0	1.0	Depleted
uterine corpus endometrioid carcinoma	42	TIMELESS	PER2	8	18	4	3.4285714285714284	3.418	1.2653995904900401	1.1702750146284375	0.4599337666725606	0.7078292170782922	1.0	Enriched
uterine corpus endometrioid carcinoma	42	TIMELESS	PER3	8	22	6	4.190476190476191	4.2157	1.291487632163159	1.4232511801124368	1.3815850462395927	0.24887511248875113	1.0	Enriched
uterine corpus endometrioid carcinoma	42	TIMELESS	RORA	8	9	2	1.7142857142857142	1.7128	1.0556645313546704	1.1676786548341895	0.27205612338936264	1.0	1.0	Enriched
uterine corpus endometrioid carcinoma	42	TIMELESS	RORB	8	10	1	1.9047619047619047	1.9147	1.0923109558740278	0.5222750300308142	-0.8373989064937009	0.6559344065593441	1.0	Depleted
uterine corpus endometrioid carcinoma	42	TIMELESS	RORC	8	8	2	1.5238095238095237	1.5159	0.9909820354272089	1.3193482419684675	0.48850532370277144	1.0	1.0	Enriched
uterine corpus endometrioid carcinoma	42	TIMELESS	CLOCK	8	14	5	2.6666666666666665	2.673	1.2135972486077014	1.8705574261129816	1.9174400755025187	0.0922907709229077	1.0	Enriched
uterine corpus endometrioid carcinoma	42	TIMELESS	NR1D1	8	5	1	0.9523809523809523	0.9681	0.8397338300262347	1.0329511414110113	0.03798822776855784	1.0	1.0	Enriched
uterine corpus endometrioid carcinoma	42	TIMELESS	NR1D2	8	5	2	0.9523809523809523	0.9586	0.8302740363865112	2.0863759649488838	1.2542846751324943	0.23987601239876014	1.0	Enriched
