Cancer_Type	ARNTL	CLOCK	CRY1	CSNK1D	CSNK1E	NPAS2	NR1D1	NR1D2	PER1	PER2	PER3	RORA	RORB	RORC	TIMELESS
bladder urothelial carcinoma						2.4346560388147633		4.212083333333333							2.934259910860896
brain lower grade glioma										0.1061631711634393	0.1124850962357349				
breast invasive carcinoma	0.1692087316101946		0.0889772727272727			0.3344614558152028					0.3078395774880343	0.1581235466585785	0.2508445493055928		0.3183871188495342
colon adenocarcinoma				3.277837037037037	3.883176124942014				2.860603318250377		2.2992797464707575		2.6924663677130045		2.298481428278268
glioblastoma multiforme					0.0										
kidney clear cell carcinoma															0.0955304827853372
ovarian serous cystadenocarcinoma	0.0	0.0			0.0	0.0			0.0990351301265006	0.0	0.1960319042871386	0.0	0.0		0.0859875682736733
prostate adenocarcinoma											0.1167708002400367			0.0	
skin cutaneous melanoma						4.136054421768708							7.490719164323021	6.39739184069081	
stomach adenocarcinoma	3.6914637738071865				2.8683834048640917		4.32258064516129	3.5919170243204577		2.527340043038347	2.862273040680303	3.691995947315096	2.5892008639308854		2.788989188086495
thyroid carcinoma		0.0							0.0	0.0	0.0			0.0	0.1013025046591165
