Gene	Significant_Cancer_Count	Enriched_Cancer_Count	Depleted_Cancer_Count	Best_FDR	Max_OR	Mean_Enriched_OR	Strongest_Signal	Enrichment_Consistency
ARNTL	3	1	2	0.0012825114242378	3.6914637738071865	3.6914637738071865	28.599759499788487	1
CLOCK	2	0	2	0.0154176492259966	0.0		36.11564027807851	2
CRY1	1	0	1	0.0084785084763304	0.0889772727272727		7.231033767872975	1
CSNK1D	1	1	0	0.0141370387675862	3.277837037037037	3.277837037037037	3.167962709725505	1
CSNK1E	4	2	2	0.0008716677134803	3.883176124942014	3.3757797649030525	28.599759499788487	0
NPAS2	4	2	2	0.0031298025094559	4.136054421768708	3.2853552302917355	49.91827595215153	0
NR1D1	1	1	0	0.0010482568994891	4.32258064516129	4.32258064516129	6.292452987895966	1
NR1D2	2	2	0	0.0018463695434242	4.212083333333333	3.9020001788268956	5.671114895813495	2
PER1	3	1	2	0.0025881197630665	2.860603318250377	2.860603318250377	44.05021045250394	1
PER2	4	1	3	0.0012800064446914	2.527340043038347	2.527340043038347	57.65779926364783	2
PER3	7	2	5	0.0018463695434242	2.862273040680303	2.5807763935755306	44.05021045250394	3
RORA	3	1	2	0.0008716677134803	3.691995947315096	3.691995947315096	31.02279698449908	1
RORB	5	3	2	0.0002715255016103	7.490719164323021	4.25746213198897	41.291842762917604	1
RORC	3	1	2	0.0037251011093469	6.39739184069081	6.39739184069081	28.401455062220048	1
TIMELESS	7	3	4	0.0013810169500324	2.934259910860896	2.6739101757418866	7.898906571584469	1
