Cancer_Type	Gene	Cancer_Patients	Gene_Mutated_Cancer_Patients	Cancer_Prevalence_Percent	Other_Prevalence_Percent	Odds_Ratio	Fisher_P	Direction	FDR	minus_log10_FDR	log2_OR	Signal_Score
ovarian serous cystadenocarcinoma	PER2	592	0	0.0	1.81981801819818	0.0	5.2500264333048914e-05	Depleted	0.0012800064446914	2.8927878437217673	-19.931568569324174	57.65779926364783
ovarian serous cystadenocarcinoma	NPAS2	592	0	0.0	1.5898410158984102	0.0	0.0001711610747358	Depleted	0.0031298025094559	2.504483065571599	-19.931568569324174	49.91827595215153
thyroid carcinoma	PER2	507	0	0.0	1.8044814594487408	0.0	0.0002843115454106	Depleted	0.0048522503750081	2.314056797731477	-19.931568569324174	46.12278173729566
thyroid carcinoma	PER1	507	0	0.0	1.6755899266309735	0.0	0.0003978389164403	Depleted	0.0061649215775576	2.2100724435857866	-19.931568569324174	44.05021045250394
thyroid carcinoma	PER3	507	0	0.0	1.7053341265119968	0.0	0.0004093893235096	Depleted	0.0061649215775576	2.2100724435857866	-19.931568569324174	44.05021045250394
ovarian serous cystadenocarcinoma	RORB	592	0	0.0	1.3998600139986002	0.0	0.0005843114687945	Depleted	0.0084785084763304	2.0716805413131465	-19.931568569324174	41.291842762917604
ovarian serous cystadenocarcinoma	CLOCK	592	0	0.0	1.2798720127987202	0.0	0.0013550668265036	Depleted	0.0154176492259966	1.811981839385313	-19.931568569324174	36.11564027807851
ovarian serous cystadenocarcinoma	RORA	592	0	0.0	1.0998900109989	0.0	0.0028743556393325	Depleted	0.0277673601384577	1.5564654069547212	-19.931568569324174	31.02279698449908
thyroid carcinoma	CLOCK	507	0	0.0	1.269085861590323	0.0	0.0029619061590478	Depleted	0.0280832583968986	1.551552504031723	-19.931568569324174	30.92487512301491
ovarian serous cystadenocarcinoma	ARNTL	592	0	0.0	1.0298970102989702	0.0	0.0043041005369726	Depleted	0.0367368927430326	1.434897579702039	-19.931568569324174	28.599759499788487
ovarian serous cystadenocarcinoma	CSNK1E	592	0	0.0	1.01989801019898	0.0	0.0043051046183241	Depleted	0.0367368927430326	1.434897579702039	-19.931568569324174	28.599759499788487
glioblastoma multiforme	CSNK1E	594	0	0.0	1.02010201020102	0.0	0.0042993400466178	Depleted	0.0367368927430326	1.434897579702039	-19.931568569324174	28.599759499788487
prostate adenocarcinoma	RORC	498	0	0.0	1.2283308568598317	0.0	0.0044782832420532	Depleted	0.0375882134414961	1.424948315705143	-19.931568569324174	28.401455062220048
thyroid carcinoma	RORC	507	0	0.0	1.2294269284156256	0.0	0.0045811244441259	Depleted	0.0378312212160081	1.4221496391774346	-19.931568569324174	28.345673049104672
skin cutaneous melanoma	RORB	104	9	8.653846153846153	1.2489274478024597	7.490719164323021	9.01549517065671e-06	Enriched	0.0002715255016103	3.5661893753254983	2.9051042347047624	10.360151856017236
ovarian serous cystadenocarcinoma	TIMELESS	592	1	0.1689189189189189	1.9298070192980703	0.0859875682736733	0.0003667575614678	Depleted	0.0058681209834855	2.2315009408549114	-3.5397280937548317	7.898906571584469
breast invasive carcinoma	CRY1	1101	1	0.0908265213442325	1.011378002528445	0.0889772727272727	0.0005961451272419	Depleted	0.0084785084763304	2.0716805413131465	-3.4904193111209816	7.231033767872975
kidney clear cell carcinoma	TIMELESS	536	1	0.1865671641791045	1.9190613503032712	0.0955304827853372	0.0007633631224382	Depleted	0.0101384570169228	1.9940281357350134	-3.3878950341537517	6.755558019019515
skin cutaneous melanoma	RORC	104	7	6.730769230769231	1.1154542854418914	6.39739184069081	0.0002109920550216	Enriched	0.0037251011093469	2.428861934825625	2.6774838511403667	6.503238607145156
stomach adenocarcinoma	NR1D1	478	13	2.719665271966527	0.6426099851705388	4.32258064516129	4.09475351362967e-05	Enriched	0.0010482568994891	2.979532270445803	2.111892880070897	6.292452987895966
ovarian serous cystadenocarcinoma	PER1	592	1	0.1689189189189189	1.67983201679832	0.0990351301265006	0.0010906182167392	Depleted	0.0136194274870854	1.8658411482547692	-3.3359158153990776	6.22428899548546
colon adenocarcinoma	CSNK1E	461	15	3.2537960954446854	0.8586656138965654	3.883176124942014	3.234704405493541e-05	Enriched	0.0008716677134803	3.059649039957924	1.9572371434601399	5.988458746957806
