Cancer_Type	N	CLOCK16_Mutated	CLOCK16_Wild_Type	OR_per_log1p_non_CLOCK16_mutation	CI95_Low	CI95_High	Beta	SE	P	Direction	Iterations	Median_non_CLOCK16_mutations	FDR
breast invasive carcinoma	1101	58	1043	3.647250895763403	2.7057545099709266	4.916351076058958	1.2939737045695094	0.15234331610605367	0.0	Positive	10	39.0	0.0
colon adenocarcinoma	461	76	385	3.7675244479725096	2.7906194238164774	5.086412122315979	1.326418140673971	0.15314007845801306	0.0	Positive	9	131.0	0.0
stomach adenocarcinoma	478	105	373	4.016364467954112	3.074876011593814	5.246124877433016	1.390377132244173	0.13628191491404526	0.0	Positive	8	150.5	0.0
uterine corpus endometrioid carcinoma	547	154	393	4.084462146666291	3.20928244018596	5.198305645726566	1.4071900542005424	0.12303198006634523	0.0	Positive	9	92.0	0.0
bladder urothelial carcinoma	412	116	296	4.573877363996583	3.165342472866772	6.609191365613365	1.5203612836968996	0.18780613657021222	6.661338147750939e-16	Positive	7	245.0	4.263256414560601e-15
lung adenocarcinoma	520	90	430	3.2450615060791907	2.381928193515131	4.420966260404631	1.1771343040840354	0.15776733625762923	8.570921750106208e-14	Positive	8	257.5	4.571158266723311e-13
cervical & endocervical cancer	308	62	246	4.6920746685334525	3.0263585972992	7.274605433321935	1.5458748446742898	0.22373200558313752	4.863887070882811e-12	Positive	8	145.5	2.2234912324035706e-11
head & neck squamous cell carcinoma	528	72	456	2.501586261133121	1.788123569512259	3.499721120278585	0.9169250351145619	0.17130522973764717	8.670869977578377e-08	Positive	8	142.5	3.468347991031351e-07
lung squamous cell carcinoma	506	107	399	2.2500226892375896	1.5560243065105668	3.253549498488875	0.8109403002710799	0.18816645586027506	1.6347880793299296e-05	Positive	10	303.0	5.812579837617527e-05
prostate adenocarcinoma	498	23	475	4.629213081454102	2.25081948517977	9.520805153236989	1.5323868928441184	0.3679043506646686	3.111105333108988e-05	Positive	9	37.0	9.95553706594876e-05
skin cutaneous melanoma	104	33	71	2.7354356155137793	1.6782944573043785	4.458459583212572	1.0062906976020105	0.24924113461272115	5.4042675374565974e-05	Positive	7	394.0	0.00015288603636124756
glioblastoma multiforme	594	22	572	2.33297152607965	1.5441450217091302	3.5247700604403867	0.8471427881125415	0.2105471504812804	5.733226363546784e-05	Positive	11	34.0	0.00015288603636124756
sarcoma	261	19	242	3.030151110715477	1.759916295740378	5.21718889471817	1.1086124898009944	0.2772174699593531	6.359146225110024e-05	Positive	10	63.0	0.00015653283015655445
kidney clear cell carcinoma	536	26	510	7.245161246643622	2.569455317551273	20.429373155977878	1.980333831790489	0.5288979051232361	0.00018092273533998338	Positive	13	56.0	0.00041353768077710484
esophageal carcinoma	185	31	154	4.374799627310993	2.007656192499128	9.532942866724783	1.4758607192889768	0.3973942607112526	0.00020413378789352343	Positive	8	180.0	0.00043548541417285
