Cancer_Type	N	CLOCK16_Mutated	CLOCK16_Wild_Type	OR_per_log1p_non_CLOCK16_mutation	CI95_Low	CI95_High	Beta	SE	Firth_LR_Statistic	Firth_LR_P	Direction	Full_Iterations	Null_Iterations	Median_non_CLOCK16_mutations	FDR
uterine corpus endometrioid carcinoma	547	154	393	4.084462323044661	3.2092825550363506	5.198305908649551	1.4071900973833067	0.1230319838397265	361.7422018476682	1.1755118954359526e-80	Positive	15	6	92.0	3.7616380653950483e-79
colon adenocarcinoma	461	76	385	3.767523403216149	2.7906187729835383	5.086410487594439	1.326417863368138	0.1531400559661101	195.4052394168697	2.1016895370648675e-44	Positive	17	7	131.0	3.362703259303788e-43
stomach adenocarcinoma	478	105	373	4.0163642999885765	3.0748759037853945	5.246124622578778	1.39037709042388	0.13628191146545837	186.5546641059002	1.7964239490885724e-42	Positive	17	7	150.5	1.9161855456944772e-41
breast invasive carcinoma	1101	58	1043	3.6472499093768267	2.7057538903466574	4.916349542694359	1.2939734341228806	0.15234329496105095	130.8508260007638	2.6693045323723502e-30	Positive	16	8	39.0	2.1354436258978802e-29
bladder urothelial carcinoma	412	116	296	4.573876388600477	3.165341939092419	6.609189661258308	1.5203610704432131	0.18780611380345988	99.99354531090745	1.528945332467661e-23	Positive	18	5	245.0	9.78525012779303e-23
cervical & endocervical cancer	308	62	246	4.6920657463311795	3.0263539098212786	7.2745890348278825	1.545872943125106	0.223731825652451	87.55040662071792	8.215906434423947e-21	Positive	18	7	145.5	4.381816765026105e-20
lung adenocarcinoma	520	90	430	3.2450619852231366	2.3819284923666446	4.42096701126299	1.1771344517372955	0.15776734757755442	84.15820737011137	4.567240028520189e-20	Positive	17	7	257.5	2.0878811558949435e-19
glioblastoma multiforme	594	22	572	2.3329726860268596	1.5441453505668923	3.5247728147801722	0.847143285309746	0.2105472954947764	41.295760121223424	1.3085240934153652e-10	Positive	16	9	34.0	5.103948170049251e-10
kidney clear cell carcinoma	536	26	510	7.245161300788743	2.56945538354144	20.429372936648317	1.9803338392637693	0.5288978958327919	41.11475532615643	1.435485422826352e-10	Positive	18	8	56.0	5.103948170049251e-10
head & neck squamous cell carcinoma	528	72	456	2.501586277156954	1.7881235808136144	3.4997211429942467	0.9169250415200308	0.17130522978113552	40.54416455451741	1.922217517297008e-10	Positive	16	8	142.5	6.151096055350426e-10
lung squamous cell carcinoma	506	107	399	2.250022621442959	1.5560242638093416	3.2535493917113882	0.8109402701404362	0.18816645448878264	35.720895161880094	2.2770854010602047e-09	Positive	11	7	303.0	6.624248439447868e-09
rectum adenocarcinoma	167	9	158	5.426828043578903	1.6043684143451342	18.356421350139463	1.6913548092243662	0.6217472660202673	31.845892055975227	1.6690228690112546e-08	Positive	16	10	97.0	4.4507276506966786e-08
prostate adenocarcinoma	498	23	475	4.6292078162434835	2.2508176912732147	9.520791083638475	1.5323857554556422	0.36790417699801725	30.211466828251048	3.8741216774354415e-08	Positive	20	9	37.0	9.536299513687241e-08
ovarian serous cystadenocarcinoma	592	5	587	13.117857394644037	1.520845294387905	113.14640829097186	2.5739744618446267	1.0993409014449225	29.857655010866555	4.649574644189625e-08	Positive	22	11	0.0	1.0627599186719143e-07
skin cutaneous melanoma	104	33	71	2.7354357568665035	1.6782945286993682	4.458459854327615	1.006290749276676	0.24924113927316077	28.961839787931893	7.381824082828998e-08	Positive	17	6	394.0	1.5747891376701862e-07
adrenocortical cancer	92	7	85	5.112243226750939	2.0680950412819685	12.637248428031775	1.6316382955112296	0.4617399907420259	25.22459899916224	5.102719502255106e-07	Positive	20	9	39.5	1.0205439004510211e-06
sarcoma	261	19	242	3.030149446001685	1.759915575427854	5.217185297580041	1.1086119404177497	0.27721739848220206	24.524746054345258	7.336156684860222e-07	Positive	17	10	63.0	1.3809236112678066e-06
esophageal carcinoma	185	31	154	4.374792147335725	2.0076537156177734	9.532922029086643	1.4758590095005752	0.397394017818521	21.78397439992628	3.0513822616982415e-06	Positive	18	7	180.0	5.42467957635243e-06
brain lower grade glioma	516	13	503	4.920472147736758	1.7654658081127876	13.71368737100257	1.593404490887018	0.5229540415183647	19.16197282993612	1.200819139546753e-05	Positive	16	10	38.0	2.0224322350261103e-05
liver hepatocellular carcinoma	377	53	324	2.0960727129071075	1.3157158846876862	3.339262578589799	0.7400654571295424	0.237594153382219	16.241982392181455	5.5744996364083416e-05	Positive	17	7	124.0	8.919199418253347e-05
kidney papillary cell carcinoma	291	38	253	1.9944931817047082	1.0335529163220474	3.848862490778415	0.6903899738088264	0.3354018744358133	9.013586175249515	0.0026798009914706902	Positive	14	8	86.0	0.004083506272717243
uveal melanoma	80	2	78	4.800973043516815	1.0845440035602965	21.25256521534366	1.5688186147687861	0.7590096884348062	8.843249715242544	0.0029417487550416517	Positive	19	10	16.0	0.004278907280060584
pancreatic adenocarcinoma	185	7	178	1.9376331004358374	1.0358117206164859	3.6246182169767986	0.6614671768849761	0.3195315236839298	8.40558855413466	0.0037406927061857443	Positive	14	9	50.0	0.0052044420259975575
kidney chromophobe	66	3	63	4.107647410450329	0.9978401542264642	16.909288704320815	1.412850458404697	0.7219452244944276	7.953703359118688	0.004798907752083444	Positive	17	9	30.0	0.006398543669444592
cholangiocarcinoma	36	1	35	5.941328539878718	0.9864191726810256	35.78537988351936	1.7819327682786463	0.9161258462117274	7.168324928474694	0.0074202029048086055	Positive	19	10	61.5	0.009497859718155015
