Cancer_Type	N	CLOCK16_Mutated	CLOCK16_Wild_Type	Full_Converged	Null_Converged	Full_PLL	Null_PLL	LR_Statistic	LR_Valid	Full_Message	Null_Message
adrenocortical cancer	92	7	85	True	True	-11.198636277245065	-23.810935776826184	25.22459899916224	True	CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH	Optimization terminated successfully.
bladder urothelial carcinoma	412	116	296	True	True	-192.6902379907459	-242.68701064619964	99.99354531090745	True	CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH	CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
brain lower grade glioma	516	13	503	True	True	-49.830416497405224	-59.41140291237328	19.16197282993612	True	CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH	CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
breast invasive carcinoma	1101	58	1043	True	True	-159.73915685107	-225.1645698514519	130.8508260007638	True	Optimization terminated successfully.	Optimization terminated successfully.
cervical & endocervical cancer	308	62	246	True	True	-108.94956016956314	-152.7247634799221	87.55040662071792	True	CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH	Optimization terminated successfully.
cholangiocarcinoma	36	1	35	True	True	-0.9014324435493372	-4.485594907786684	7.168324928474694	True	CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH	Optimization terminated successfully.
colon adenocarcinoma	461	76	385	True	True	-106.58328937326174	-204.2859090816966	195.4052394168697	True	CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH	Optimization terminated successfully.
diffuse large B-cell lymphoma	48	3	45	True	True	-8.734882631339078	-10.673012879623293	3.876260496568431	True	CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH	Optimization terminated successfully.
esophageal carcinoma	185	31	154	True	True	-71.10212062007588	-81.99410782003902	21.78397439992628	True	CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH	CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
glioblastoma multiforme	594	22	572	True	True	-71.91633108913591	-92.56421114974762	41.295760121223424	True	CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH	Optimization terminated successfully.
