Cancer_Type	N	CLOCK16_Mutated	CLOCK16_WildType	OR_per_log1p_non_CLOCK16_mutation	CI95_Low	CI95_High	P	FDR	Direction
uterine corpus endometrioid carcinoma	547	154	393	4.151228230275933	3.2525566916448	5.298199986523641	2.774756282448754e-30	8.879220103836013e-29	Positive
stomach adenocarcinoma	478	105	373	4.076082054477913	3.1142469588311057	5.33497989545213	1.4180374877545616e-24	2.2688599804072985e-23	Positive
colon adenocarcinoma	461	76	385	3.8499519770640176	2.8408707379477147	5.217460276424564	3.53391925192949e-18	3.76951386872479e-17	Positive
breast invasive carcinoma	1101	58	1043	3.7035773033388337	2.739786036947327	5.006407309488106	1.6831341951346235e-17	1.3465073561076988e-16	Positive
bladder urothelial carcinoma	412	116	296	4.654054398778153	3.212746944715903	6.741963409975835	4.208791617279899e-16	2.6936266350591355e-15	Positive
lung adenocarcinoma	520	90	430	3.2891501203045497	2.408634946651813	4.491551751724764	6.890531486635691e-14	3.674950126205702e-13	Positive
cervical & endocervical cancer	308	62	246	4.836179250947313	3.100192333755011	7.544251204235631	3.722679905552146e-12	1.7017965282524095e-11	Positive
head & neck squamous cell carcinoma	528	72	456	2.5291879787549263	1.8046266513094757	3.5446621755457177	7.125716099738616e-08	2.8502864398954466e-07	Positive
lung squamous cell carcinoma	506	107	399	2.2905267062382886	1.5786141793097508	3.323492630913059	1.2773500342926134e-05	4.541689010818181e-05	Positive
prostate adenocarcinoma	498	23	475	4.986336821262117	2.3612967396061717	10.5296189496375	2.5206512163530776e-05	8.066083892329848e-05	Positive
skin cutaneous melanoma	104	33	71	2.880875630434212	1.736854222174508	4.778434650456141	4.160242523548032e-05	0.00012102523704867001	Positive
sarcoma	261	19	242	3.168010266645272	1.818805771056399	5.518065320268127	4.6454744676443935e-05	0.00012387931913718383	Positive
glioblastoma multiforme	594	22	572	2.5157457831528944	1.586915371912518	3.9882258105698587	8.69760691546563e-05	0.0002140949394576155	Positive
kidney clear cell carcinoma	536	26	510	8.07228806485392	2.7418499344023624	23.76564588177809	0.0001501544329266883	0.000324821916419729	Positive
esophageal carcinoma	185	31	154	4.665301305048779	2.1024544877669	10.35220329073917	0.00015226027332174797	0.000324821916419729	Positive
adrenocortical cancer	92	7	85	6.32517379729656	2.220200312880974	18.019916191297202	0.0005539780956003896	0.0011079561912007792	Positive
liver hepatocellular carcinoma	377	53	324	2.141286288773567	1.337615625441953	3.427821029658456	0.0015153284526892652	0.0028523829697680286	Positive
brain lower grade glioma	516	13	503	5.506595052547539	1.8758403554760887	16.164802609252508	0.0019033130668267403	0.0033836676743586496	Positive
rectum adenocarcinoma	167	9	158	8.224181723827916	1.6600360388674336	40.74439556908105	0.009857588471663112	0.01660225426806419	Positive
ovarian serous cystadenocarcinoma	592	5	587	18.439793680516388	1.6961500947873278	200.46928159541582	0.016665776866722836	0.026665242986756536	Positive
thymoma	124	5	119	3.3111590268548396	1.155496082941915	9.488369768600435	0.02580862180400747	0.03932742370134471	Positive
kidney papillary cell carcinoma	291	38	253	2.130802933866949	1.0730430084426672	4.231257374823656	0.03066257723357393	0.0446001123397439	Positive
uterine carcinosarcoma	57	5	52	2.8100493576210357	1.0776589924487991	7.327343294675437	0.034604906712744236	0.04671264706814423	Positive
pancreatic adenocarcinoma	185	7	178	2.2170835795088597	1.057476574048231	4.648291715541707	0.03503448530110817	0.04671264706814423	Positive
kidney chromophobe	66	3	63	9.622685518276556	0.6797935011485919	136.2120650273903	0.0940244593341225	0.1203513079476768	Positive
diffuse large B-cell lymphoma	48	3	45	6.235762896301085	0.4984050005678715	78.01835626564922	0.15565879285625997	0.19158005274616613	Positive
mesothelioma	87	3	84	2.808899635365056	0.4788416127412735	16.477091697160006	0.2525453416445054	0.29931299750459894	Positive
uveal melanoma	80	2	78	184877.6805199029	6.16169065811722e-05	554713935685687.1	0.27604038640389206	0.31547472731873377	Positive
pheochromocytoma & paraganglioma	179	5	174	2.9136097783455743	0.39446343776295567	21.52068133009656	0.2945449754908237	0.3250151453691848	Positive
testicular germ cell tumor	150	6	144	1.9799913172858832	0.41801927844564013	9.378432571590828	0.38933346997559504	0.4152890346406347	Positive
thyroid carcinoma	507	6	501	1.2928574182948327	0.37737079398762063	4.429278393215591	0.6826586973934212	0.7046799456964348	Positive
cholangiocarcinoma	36	1	35	1.2556421155926034e+16	0.0	inf	0.9999999999749716	0.9999999999749716	Positive
