Cancer_Type	Burden_Group	N	CLOCK16_Mutated	CLOCK16_Unmutated	Reference_N	Reference_CLOCK16_Mutated	Odds_Ratio	Fisher_P	Cancer_Median_Total_Mutations	FDR
adrenocortical cancer	Low	46	0	46	46	7	0.0	0.012219473668524421	39.5	0.02300136219957538
adrenocortical cancer	High	46	7	39	46	0	inf	0.012219473668524421	39.5	0.02300136219957538
bladder urothelial carcinoma	Low	207	23	184	205	93	0.15053763440860216	3.93130492058787e-15	245.0	3.145043936470296e-14
bladder urothelial carcinoma	High	205	93	112	207	23	6.642857142857143	3.93130492058787e-15	245.0	3.145043936470296e-14
brain lower grade glioma	Low	260	4	256	256	9	0.4288194444444444	0.17119395283407457	38.0	0.2608669757471612
brain lower grade glioma	High	256	9	247	260	4	2.331983805668016	0.17119395283407457	38.0	0.2608669757471612
breast invasive carcinoma	Low	551	4	547	550	54	0.0671677161622317	4.9844779518613e-13	39.0	3.190065889191232e-12
breast invasive carcinoma	High	550	54	496	551	4	14.888104838709678	4.9844779518613e-13	39.0	3.190065889191232e-12
cervical & endocervical cancer	Low	154	11	143	154	51	0.15535444947209653	1.118946324988602e-08	145.5	5.115183199947894e-08
cervical & endocervical cancer	High	154	51	103	154	11	6.436893203883495	1.118946324988602e-08	145.5	5.115183199947894e-08
cholangiocarcinoma	Low	18	0	18	18	1	0.0	1.0	61.5	1.0
cholangiocarcinoma	High	18	1	17	18	0	inf	1.0	61.5	1.0
colon adenocarcinoma	Low	233	4	229	228	72	0.03784570596797671	2.3504702751093982e-20	131.0	3.760752440175037e-19
colon adenocarcinoma	High	228	72	156	233	4	26.423076923076923	2.3504702751093982e-20	131.0	3.760752440175037e-19
diffuse large B-cell lymphoma	Low	24	0	24	24	3	0.0	0.23404255319148937	141.5	0.32114730387810736
diffuse large B-cell lymphoma	High	24	3	21	24	0	inf	0.23404255319148937	141.5	0.32114730387810736
esophageal carcinoma	Low	93	7	86	92	24	0.23062015503875968	0.0007558914266554428	180.0	0.0017277518323552978
esophageal carcinoma	High	92	24	68	93	7	4.336134453781512	0.0007558914266554428	180.0	0.0017277518323552978
glioblastoma multiforme	Low	298	2	296	296	20	0.09324324324324325	4.759426739251519e-05	34.0	0.00013845605059640783
glioblastoma multiforme	High	296	20	276	298	2	10.72463768115942	4.759426739251519e-05	34.0	0.00013845605059640783
head & neck squamous cell carcinoma	Low	264	17	247	264	55	0.26153846153846155	1.692006974915264e-06	142.5	6.768027899661056e-06
head & neck squamous cell carcinoma	High	264	55	209	264	17	3.823529411764706	1.692006974915264e-06	142.5	6.768027899661056e-06
kidney chromophobe	Low	36	0	36	30	3	0.0	0.08872377622377622	30.0	0.14942951785057051
kidney chromophobe	High	30	3	27	36	0	inf	0.08872377622377624	30.0	0.14942951785057051
kidney clear cell carcinoma	Low	270	2	268	266	24	0.07524875621890548	3.0757413073341046e-06	56.0	1.0935969092743482e-05
kidney clear cell carcinoma	High	266	24	242	270	2	13.289256198347108	3.0757413073341046e-06	56.0	1.0935969092743482e-05
kidney papillary cell carcinoma	Low	148	13	135	143	25	0.45451851851851854	0.03608550187632942	86.0	0.06415200333569675
kidney papillary cell carcinoma	High	143	25	118	148	13	2.2001303780964796	0.03608550187632942	86.0	0.06415200333569675
liver hepatocellular carcinoma	Low	189	23	166	188	30	0.729718875502008	0.3035098538107441	124.0	0.38849261287775244
liver hepatocellular carcinoma	High	188	30	158	189	23	1.3703907539900935	0.3035098538107441	124.0	0.38849261287775244
lung adenocarcinoma	Low	260	16	244	260	74	0.1648205582631812	9.052158690108397e-12	257.5	4.827817968057812e-11
lung adenocarcinoma	High	260	74	186	260	16	6.067204301075269	9.052158690108397e-12	257.5	4.827817968057812e-11
lung squamous cell carcinoma	Low	253	36	217	253	71	0.42526124488868694	0.00019488205774196435	303.5	0.0005196854873119049
lung squamous cell carcinoma	High	253	71	182	253	36	2.3514957264957266	0.00019488205774196435	303.5	0.0005196854873119049
mesothelioma	Low	44	0	44	43	3	0.0	0.11643002028397564	40.0	0.18628803245436104
mesothelioma	High	43	3	40	44	0	inf	0.11643002028397564	40.0	0.18628803245436104
ovarian serous cystadenocarcinoma	Low	527	0	527	65	5	0.0	1.3864416115850427e-05	0.0	4.436613157072137e-05
ovarian serous cystadenocarcinoma	High	65	5	60	527	0	inf	1.3864416115850427e-05	0.0	4.436613157072137e-05
pancreatic adenocarcinoma	Low	93	3	90	92	4	0.7333333333333333	0.7205022532585265	50.0	0.7685357368090949
pancreatic adenocarcinoma	High	92	4	88	93	3	1.3636363636363635	0.7205022532585265	50.0	0.7685357368090949
pheochromocytoma & paraganglioma	Low	93	2	91	86	3	0.608058608058608	0.6723331327056714	13.0	0.7472909382841335
pheochromocytoma & paraganglioma	High	86	3	83	93	2	1.644578313253012	0.6723331327056714	13.0	0.7472909382841335
