cancer_type	Cancer_Patients	CLOCK16_Mutated_Patients	Median_Total_Mutations	Mean_Total_Mutations	Median_CLOCK16_Mutations	CLOCK16_Prevalence_Percent
skin cutaneous melanoma	104	33	395.5	630.8942307692307	0.0	31.73076923076923
bladder urothelial carcinoma	412	116	245.0	346.11893203883494	0.0	28.155339805825243
uterine corpus endometrioid carcinoma	547	154	92.0	1460.0658135283363	0.0	28.153564899451556
stomach adenocarcinoma	478	105	150.5	453.55648535564853	0.0	21.96652719665272
lung squamous cell carcinoma	506	107	303.5	361.22529644268775	0.0	21.14624505928854
cervical & endocervical cancer	308	62	145.5	330.4707792207792	0.0	20.12987012987013
lung adenocarcinoma	520	90	257.5	378.75384615384615	0.0	17.307692307692307
esophageal carcinoma	185	31	180.0	243.18378378378378	0.0	16.756756756756758
colon adenocarcinoma	461	76	131.0	468.03253796095447	0.0	16.48590021691974
liver hepatocellular carcinoma	377	53	124.0	150.69230769230768	0.0	14.058355437665782
head & neck squamous cell carcinoma	528	72	142.5	202.4280303030303	0.0	13.636363636363635
kidney papillary cell carcinoma	291	38	86.0	84.86941580756013	0.0	13.058419243986256
uterine carcinosarcoma	57	5	65.0	180.87719298245614	0.0	8.771929824561402
adrenocortical cancer	92	7	39.5	129.2608695652174	0.0	7.608695652173914
sarcoma	261	19	63.0	99.82758620689656	0.0	7.2796934865900385
diffuse large B-cell lymphoma	48	3	141.5	160.79166666666666	0.0	6.25
rectum adenocarcinoma	167	9	97.0	216.4550898203593	0.0	5.389221556886228
breast invasive carcinoma	1101	58	39.0	83.66848319709355	0.0	5.267938237965486
kidney clear cell carcinoma	536	26	56.0	54.6455223880597	0.0	4.850746268656716
prostate adenocarcinoma	498	23	37.0	62.45783132530121	0.0	4.618473895582329
kidney chromophobe	66	3	30.0	49.696969696969695	0.0	4.545454545454546
thymoma	124	5	24.0	35.03225806451613	0.0	4.032258064516129
testicular germ cell tumor	150	6	21.0	23.033333333333335	0.0	4.0
pancreatic adenocarcinoma	185	7	50.0	167.17297297297299	0.0	3.783783783783784
glioblastoma multiforme	594	22	34.0	89.1885521885522	0.0	3.7037037037037033
mesothelioma	87	3	40.0	44.02298850574713	0.0	3.4482758620689653
pheochromocytoma & paraganglioma	179	5	13.0	14.664804469273744	0.0	2.793296089385475
cholangiocarcinoma	36	1	61.5	95.25	0.0	2.7777777777777777
brain lower grade glioma	516	13	38.0	73.34496124031008	0.0	2.5193798449612403
uveal melanoma	80	2	16.0	23.75	0.0	2.5
thyroid carcinoma	507	6	13.0	15.749506903353057	0.0	1.183431952662722
ovarian serous cystadenocarcinoma	592	5	0.0	12.285472972972974	0.0	0.8445945945945946
