PolyPhen_Raw	PolyPhen_Raw	N
probably_damaging(1)	probably_damaging(1)	81
probably_damaging(0.999)	probably_damaging(0.999)	67
benign(0.001)	benign(0.001)	44
benign(0)	benign(0)	33
benign(0.002)	benign(0.002)	27
benign(0.006)	benign(0.006)	24
probably_damaging(0.996)	probably_damaging(0.996)	24
benign(0.004)	benign(0.004)	21
probably_damaging(0.998)	probably_damaging(0.998)	20
benign(0.003)	benign(0.003)	19
probably_damaging(0.997)	probably_damaging(0.997)	18
probably_damaging(0.993)	probably_damaging(0.993)	17
benign(0.005)	benign(0.005)	13
probably_damaging(0.99)	probably_damaging(0.99)	12
benign(0.007)	benign(0.007)	12
probably_damaging(0.994)	probably_damaging(0.994)	10
probably_damaging(0.995)	probably_damaging(0.995)	10
unknown(0)	unknown(0)	10
benign(0.017)	benign(0.017)	9
probably_damaging(0.953)	probably_damaging(0.953)	9
probably_damaging(0.992)	probably_damaging(0.992)	9
benign(0.01)	benign(0.01)	9
probably_damaging(0.974)	probably_damaging(0.974)	8
benign(0.009)	benign(0.009)	8
benign(0.008)	benign(0.008)	7
benign(0.014)	benign(0.014)	7
possibly_damaging(0.86)	possibly_damaging(0.86)	7
benign(0.028)	benign(0.028)	7
benign(0.079)	benign(0.079)	6
probably_damaging(0.988)	probably_damaging(0.988)	6
possibly_damaging(0.857)	possibly_damaging(0.857)	6
benign(0.031)	benign(0.031)	6
possibly_damaging(0.831)	possibly_damaging(0.831)	6
probably_damaging(0.976)	probably_damaging(0.976)	6
probably_damaging(0.967)	probably_damaging(0.967)	6
probably_damaging(0.964)	probably_damaging(0.964)	6
benign(0.025)	benign(0.025)	5
possibly_damaging(0.602)	possibly_damaging(0.602)	5
benign(0.012)	benign(0.012)	5
benign(0.011)	benign(0.011)	5
probably_damaging(0.959)	probably_damaging(0.959)	5
probably_damaging(0.989)	probably_damaging(0.989)	5
probably_damaging(0.984)	probably_damaging(0.984)	5
probably_damaging(0.979)	probably_damaging(0.979)	5
possibly_damaging(0.636)	possibly_damaging(0.636)	5
benign(0.033)	benign(0.033)	5
benign(0.018)	benign(0.018)	5
benign(0.036)	benign(0.036)	5
possibly_damaging(0.739)	possibly_damaging(0.739)	5
probably_damaging(0.98)	probably_damaging(0.98)	5
benign(0.027)	benign(0.027)	4
possibly_damaging(0.908)	possibly_damaging(0.908)	4
possibly_damaging(0.876)	possibly_damaging(0.876)	4
benign(0.403)	benign(0.403)	4
probably_damaging(0.977)	probably_damaging(0.977)	4
probably_damaging(0.972)	probably_damaging(0.972)	4
probably_damaging(0.949)	probably_damaging(0.949)	4
possibly_damaging(0.788)	possibly_damaging(0.788)	4
benign(0.021)	benign(0.021)	4
probably_damaging(0.987)	probably_damaging(0.987)	4
probably_damaging(0.975)	probably_damaging(0.975)	4
possibly_damaging(0.849)	possibly_damaging(0.849)	4
benign(0.023)	benign(0.023)	4
probably_damaging(0.985)	probably_damaging(0.985)	4
benign(0.065)	benign(0.065)	4
benign(0.191)	benign(0.191)	4
possibly_damaging(0.821)	possibly_damaging(0.821)	4
benign(0.075)	benign(0.075)	4
probably_damaging(0.982)	probably_damaging(0.982)	4
benign(0.169)	benign(0.169)	4
benign(0.219)	benign(0.219)	3
benign(0.315)	benign(0.315)	3
probably_damaging(0.911)	probably_damaging(0.911)	3
benign(0.035)	benign(0.035)	3
probably_damaging(0.97)	probably_damaging(0.97)	3
benign(0.026)	benign(0.026)	3
possibly_damaging(0.893)	possibly_damaging(0.893)	3
probably_damaging(0.968)	probably_damaging(0.968)	3
possibly_damaging(0.848)	possibly_damaging(0.848)	3
probably_damaging(0.981)	probably_damaging(0.981)	3
benign(0.164)	benign(0.164)	3
probably_damaging(0.966)	probably_damaging(0.966)	3
benign(0.052)	benign(0.052)	3
possibly_damaging(0.881)	possibly_damaging(0.881)	3
possibly_damaging(0.883)	possibly_damaging(0.883)	3
benign(0.038)	benign(0.038)	3
benign(0.034)	benign(0.034)	3
possibly_damaging(0.787)	possibly_damaging(0.787)	3
benign(0.372)	benign(0.372)	3
benign(0.093)	benign(0.093)	3
benign(0.02)	benign(0.02)	3
benign(0.067)	benign(0.067)	3
possibly_damaging(0.885)	possibly_damaging(0.885)	3
benign(0.1)	benign(0.1)	3
benign(0.029)	benign(0.029)	3
probably_damaging(0.969)	probably_damaging(0.969)	3
probably_damaging(0.951)	probably_damaging(0.951)	3
benign(0.141)	benign(0.141)	3
probably_damaging(0.922)	probably_damaging(0.922)	3
probably_damaging(0.914)	probably_damaging(0.914)	3
probably_damaging(0.978)	probably_damaging(0.978)	3
benign(0.103)	benign(0.103)	3
possibly_damaging(0.782)	possibly_damaging(0.782)	3
probably_damaging(0.973)	probably_damaging(0.973)	3
possibly_damaging(0.884)	possibly_damaging(0.884)	3
benign(0.03)	benign(0.03)	3
possibly_damaging(0.657)	possibly_damaging(0.657)	3
benign(0.059)	benign(0.059)	3
possibly_damaging(0.756)	possibly_damaging(0.756)	3
probably_damaging(0.948)	probably_damaging(0.948)	3
probably_damaging(0.919)	probably_damaging(0.919)	3
possibly_damaging(0.851)	possibly_damaging(0.851)	3
benign(0.044)	benign(0.044)	3
possibly_damaging(0.727)	possibly_damaging(0.727)	3
benign(0.15)	benign(0.15)	3
possibly_damaging(0.587)	possibly_damaging(0.587)	3
benign(0.099)	benign(0.099)	3
possibly_damaging(0.856)	possibly_damaging(0.856)	2
possibly_damaging(0.489)	possibly_damaging(0.489)	2
benign(0.032)	benign(0.032)	2
possibly_damaging(0.665)	possibly_damaging(0.665)	2
benign(0.151)	benign(0.151)	2
possibly_damaging(0.839)	possibly_damaging(0.839)	2
probably_damaging(0.944)	probably_damaging(0.944)	2
possibly_damaging(0.897)	possibly_damaging(0.897)	2
probably_damaging(0.942)	probably_damaging(0.942)	2
probably_damaging(0.946)	probably_damaging(0.946)	2
possibly_damaging(0.804)	possibly_damaging(0.804)	2
possibly_damaging(0.716)	possibly_damaging(0.716)	2
probably_damaging(0.921)	probably_damaging(0.921)	2
possibly_damaging(0.809)	possibly_damaging(0.809)	2
possibly_damaging(0.507)	possibly_damaging(0.507)	2
probably_damaging(0.912)	probably_damaging(0.912)	2
possibly_damaging(0.759)	possibly_damaging(0.759)	2
possibly_damaging(0.803)	possibly_damaging(0.803)	2
benign(0.145)	benign(0.145)	2
possibly_damaging(0.7)	possibly_damaging(0.7)	2
benign(0.176)	benign(0.176)	2
benign(0.111)	benign(0.111)	2
benign(0.121)	benign(0.121)	2
probably_damaging(0.91)	probably_damaging(0.91)	2
