SIFT_Raw	SIFT_Raw	N
deleterious(0)	deleterious(0)	402
deleterious(0.01)	deleterious(0.01)	83
deleterious(0.02)	deleterious(0.02)	62
deleterious_low_confidence(0)	deleterious_low_confidence(0)	62
deleterious(0.03)	deleterious(0.03)	53
deleterious(0.04)	deleterious(0.04)	40
tolerated(1)	tolerated(1)	36
tolerated(0.08)	tolerated(0.08)	23
tolerated(0.1)	tolerated(0.1)	19
tolerated(0.09)	tolerated(0.09)	18
tolerated(0.11)	tolerated(0.11)	18
tolerated(0.07)	tolerated(0.07)	18
tolerated(0.12)	tolerated(0.12)	17
tolerated(0.05)	tolerated(0.05)	17
tolerated(0.06)	tolerated(0.06)	17
deleterious_low_confidence(0.01)	deleterious_low_confidence(0.01)	16
tolerated(0.13)	tolerated(0.13)	15
deleterious(0.05)	deleterious(0.05)	12
tolerated(0.19)	tolerated(0.19)	12
tolerated(0.26)	tolerated(0.26)	11
tolerated(0.15)	tolerated(0.15)	11
tolerated(0.16)	tolerated(0.16)	9
tolerated(0.2)	tolerated(0.2)	9
tolerated(0.22)	tolerated(0.22)	9
tolerated(0.34)	tolerated(0.34)	9
tolerated(0.21)	tolerated(0.21)	9
tolerated(0.45)	tolerated(0.45)	8
tolerated(0.17)	tolerated(0.17)	8
deleterious_low_confidence(0.02)	deleterious_low_confidence(0.02)	8
deleterious_low_confidence(0.05)	deleterious_low_confidence(0.05)	8
tolerated(0.18)	tolerated(0.18)	8
tolerated(0.25)	tolerated(0.25)	7
tolerated(0.3)	tolerated(0.3)	7
tolerated(0.32)	tolerated(0.32)	7
tolerated(0.4)	tolerated(0.4)	7
tolerated(0.43)	tolerated(0.43)	7
deleterious_low_confidence(0.04)	deleterious_low_confidence(0.04)	7
tolerated(0.36)	tolerated(0.36)	7
tolerated(0.33)	tolerated(0.33)	6
tolerated(0.27)	tolerated(0.27)	6
tolerated(0.52)	tolerated(0.52)	6
tolerated(0.23)	tolerated(0.23)	6
tolerated_low_confidence(0.07)	tolerated_low_confidence(0.07)	5
tolerated(0.24)	tolerated(0.24)	5
tolerated(0.5)	tolerated(0.5)	5
tolerated(0.39)	tolerated(0.39)	5
tolerated(0.37)	tolerated(0.37)	4
tolerated(0.59)	tolerated(0.59)	4
tolerated(0.62)	tolerated(0.62)	4
tolerated(0.35)	tolerated(0.35)	4
