phenotype	cancer_type	total_primary_patients	mutated_patients	nonmutated_patients	prevalence_percent	odds_ratio	lower_95CI	upper_95CI	fisher_p	FDR
Any_CLOCK16	uterine corpus endometrioid carcinoma	547	154	393	28.1535648994516	3.5012881868363	2.85484672636507	4.27909366591256	2.7328141739977e-30	8.74500535679263e-29
Any_CLOCK16	ovarian serous cystadenocarcinoma	592	5	587	0.844594594594595	0.0649262924469911	0.0209572627441898	0.152863103070444	6.46086982849739e-24	1.03373917255958e-22
Any_CLOCK16	bladder urothelial carcinoma	412	116	296	28.1553398058252	3.41099203882309	2.70183561654011	4.28489855226543	7.45050205244661e-23	7.94720218927638e-22
Any_CLOCK16	thyroid carcinoma	507	6	501	1.18343195266272	0.0922526733739045	0.033613611755586	0.202899443191108	9.41500624459084e-19	7.53200499567268e-18
Any_CLOCK16	brain lower grade glioma	516	13	503	2.51937984496124	0.200248019887166	0.105511769046251	0.347104991503333	3.20863622397133e-13	2.05352718334165e-12
Any_CLOCK16	stomach adenocarcinoma	478	105	373	21.9665271966527	2.40436278208597	1.89976343171418	3.02348881239981	1.31929294864526e-12	7.03622905944141e-12
Any_CLOCK16	breast invasive carcinoma	1101	58	1043	5.26793823796549	0.421230344331728	0.315274107422636	0.553519894633099	4.35954900717666e-12	1.99293668899504e-11
Any_CLOCK16	lung squamous cell carcinoma	506	107	399	21.1462450592885	2.28846746004186	1.81371649376251	2.86815146174378	9.9424221044095e-12	3.9769688417638e-11
Any_CLOCK16	glioblastoma multiforme	594	22	572	3.7037037037037	0.29802280059855	0.184453578529021	0.45810752088611	5.43491461812834e-11	1.93241408644563e-10
Any_CLOCK16	skin cutaneous melanoma	104	33	71	31.7307692307692	3.84079263291452	2.44965626695664	5.91318628311586	8.83698114701614e-09	2.82783396704516e-08
Any_CLOCK16	prostate adenocarcinoma	498	23	475	4.61847389558233	0.379632776679515	0.23721793993196	0.579671946616465	3.37500667997425e-07	9.81820125083418e-07
Any_CLOCK16	kidney clear cell carcinoma	536	26	510	4.85074626865672	0.399183677882532	0.257029938236172	0.595222417055408	3.96470276210181e-07	1.05725406989382e-06
Any_CLOCK16	cervical & endocervical cancer	308	62	246	20.1298701298701	2.09787653814518	1.5504678683053	2.80346342205032	1.8134233383562e-06	4.46381129441527e-06
Any_CLOCK16	lung adenocarcinoma	520	90	430	17.3076923076923	1.75179437181935	1.36783702446216	2.22427827255736	1.00630416466626e-05	2.30012380495144e-05
Any_CLOCK16	pheochromocytoma & paraganglioma	179	5	174	2.79329608938548	0.229259376104918	0.0733622759856646	0.547056883091318	8.81968255470461e-05	0.000188153227833698
Any_CLOCK16	colon adenocarcinoma	461	76	385	16.4859002169197	1.63912412339208	1.25419948143785	2.11967062829782	0.000246196670636887	0.000492393341273774
Any_CLOCK16	pancreatic adenocarcinoma	185	7	178	3.78378378378378	0.31415335278286	0.124188824477552	0.663158688553228	0.0005386115987067	0.00101385712697732
Any_CLOCK16	testicular germ cell tumor	150	6	144	4	0.333787383352454	0.120221012186386	0.746896160945205	0.00349511367144106	0.00621353541589522
Any_CLOCK16	thymoma	124	5	119	4.03225806451613	0.337207599008477	0.107308029952378	0.811675523838675	0.00882765583912214	0.0148676308869425
Any_CLOCK16	uveal melanoma	80	2	78	2.5	0.206159375225344	0.0244981423648404	0.771935390027619	0.0106640590186678	0.0170624944298684
Any_CLOCK16	esophageal carcinoma	185	31	154	16.7567567567568	1.6461464084394	1.07587908539525	2.44736540063637	0.0170016072021275	0.0250377884135693
Any_CLOCK16	rectum adenocarcinoma	167	9	158	5.38922155688623	0.456804872921052	0.204504260368936	0.892732043378725	0.0172134795343289	0.0250377884135693
Any_CLOCK16	mesothelioma	87	3	84	3.44827586206897	0.287210553336524	0.0579775964631323	0.870899778776187	0.0232669171274408	0.0323713629599176
Any_CLOCK16	head & neck squamous cell carcinoma	528	72	456	13.6363636363636	1.296058318532	0.988543499007434	1.67934647931786	0.0536474992223123	0.0715299989630831
Any_CLOCK16	sarcoma	261	19	242	7.27969348659004	0.629356063118194	0.370915840056786	1.00938378897473	0.056284927132115	0.0720447067291072
Any_CLOCK16	liver hepatocellular carcinoma	377	53	324	14.0583554376658	1.33919582022363	0.975550031288689	1.80829133433352	0.0645094183119099	0.0793962071531199
Any_CLOCK16	kidney chromophobe	66	3	63	4.54545454545455	0.383803818533156	0.0769608069753713	1.17704487174216	0.112331379739916	0.133133487099159
Any_CLOCK16	cholangiocarcinoma	36	1	35	2.77777777777778	0.230577943449158	0.00567566854664017	1.37459172143266	0.175589889988937	0.200674159987357
Any_CLOCK16	kidney papillary cell carcinoma	291	38	253	13.0584192439863	1.22274556343614	0.840788224886885	1.73568523700299	0.254037977183644	0.280317767926779
Any_CLOCK16	adrenocortical cancer	92	7	85	7.60869565217391	0.664463932816187	0.258663565018086	1.4342202544323	0.400854867012318	0.427578524813139
Any_CLOCK16	diffuse large B-cell lymphoma	48	3	45	6.25	0.538349866940864	0.106840258542682	1.68127309111115	0.483476472867932	0.499072488121737
Any_CLOCK16	uterine carcinosarcoma	57	5	52	8.7719298245614	0.777219278236841	0.241759500650401	1.93816496626128	0.830897299040491	0.830897299040491
Nonsynonymous_CLOCK16	uterine corpus endometrioid carcinoma	547	121	426	22.1206581352834	3.60784332652012	2.88371820255297	4.49066073600149	4.66031605152243e-26	1.49130113648718e-24
Nonsynonymous_CLOCK16	ovarian serous cystadenocarcinoma	592	3	589	0.506756756756757	0.0547699007006924	0.0112523101727289	0.161420893625088	3.568996757432e-18	5.71039481189119e-17
Nonsynonymous_CLOCK16	bladder urothelial carcinoma	412	84	328	20.3883495145631	3.12952463927519	2.4053708001203	4.0368542935829	5.95385625028338e-16	6.35078000030227e-15
Nonsynonymous_CLOCK16	thyroid carcinoma	507	5	502	0.986193293885602	0.108375412110207	0.034922681359563	0.255694110309858	3.27955677849437e-13	2.6236454227955e-12
Nonsynonymous_CLOCK16	stomach adenocarcinoma	478	85	393	17.7824267782427	2.62825367474116	2.0305378401144	3.37180681684358	1.5966799061685e-12	1.02187513994784e-11
Nonsynonymous_CLOCK16	breast invasive carcinoma	1101	37	1064	3.3605812897366	0.369261638822143	0.256520949097799	0.516990101356735	3.6833265535042e-11	1.96444082853557e-10
Nonsynonymous_CLOCK16	brain lower grade glioma	516	9	507	1.74418604651163	0.193959194524228	0.0878320057667212	0.373050748006946	3.96912811953823e-10	1.81445856893176e-09
Nonsynonymous_CLOCK16	glioblastoma multiforme	594	16	578	2.69360269360269	0.302637120309705	0.170971878910991	0.498828065837924	3.78709349993128e-08	1.51483739997251e-07
Nonsynonymous_CLOCK16	lung squamous cell carcinoma	506	76	430	15.0197628458498	2.11459913931223	1.61691546761347	2.73643549001083	8.81418385992273e-08	3.13393203908364e-07
Nonsynonymous_CLOCK16	skin cutaneous melanoma	104	23	81	22.1153846153846	3.29950899106803	1.97006330994131	5.33126197903345	6.59703500244294e-06	2.11105120078174e-05
Nonsynonymous_CLOCK16	kidney clear cell carcinoma	536	18	518	3.35820895522388	0.383302395154577	0.224169781897702	0.615947870544295	9.07090690858347e-06	2.63880928249701e-05
Nonsynonymous_CLOCK16	lung adenocarcinoma	520	69	451	13.2692307692308	1.81001047643306	1.36967475563565	2.3632075801603	3.13961300165134e-05	8.08745688741609e-05
Nonsynonymous_CLOCK16	colon adenocarcinoma	461	63	398	13.6659436008677	1.86922373600048	1.39559802538854	2.46990656660698	3.28552936051278e-05	8.08745688741609e-05
Nonsynonymous_CLOCK16	prostate adenocarcinoma	498	18	480	3.6144578313253	0.415350304319423	0.242759590941052	0.667963359828515	6.47108487247698e-05	0.000147910511370902
Nonsynonymous_CLOCK16	cervical & endocervical cancer	308	42	266	13.6363636363636	1.84182525574053	1.28707029150863	2.58051366685997	0.000635362917064338	0.00134707772892721
Nonsynonymous_CLOCK16	thymoma	124	1	123	0.806451612903226	0.0916602314871058	0.00230310853372798	0.521741976687814	0.000673538864463605	0.00134707772892721
Nonsynonymous_CLOCK16	pheochromocytoma & paraganglioma	179	4	175	2.23463687150838	0.257202598051951	0.0691059050272914	0.672960666135056	0.00197827938208601	0.00372382001333837
Nonsynonymous_CLOCK16	testicular germ cell tumor	150	3	147	2	0.230047508831183	0.0468079610132948	0.688051615229394	0.0035021423888042	0.00622603091342968
Nonsynonymous_CLOCK16	pancreatic adenocarcinoma	185	5	180	2.7027027027027	0.312775259339354	0.100062669219281	0.746602063850542	0.00387912301187491	0.00653325980947353
Nonsynonymous_CLOCK16	uveal melanoma	80	2	78	2.5	0.290769501565222	0.0345434170065341	1.08957750045189	0.064211305528345	0.102738088845352
Nonsynonymous_CLOCK16	esophageal carcinoma	185	22	163	11.8918918918919	1.55335241615805	0.94188567069851	2.44934926576025	0.0744289668580618	0.113415568545618
Nonsynonymous_CLOCK16	rectum adenocarcinoma	167	8	159	4.79041916167665	0.569788802031018	0.240956276108163	1.1557110986281	0.149690602040764	0.217731784786566
Nonsynonymous_CLOCK16	mesothelioma	87	3	84	3.44827586206897	0.405219518418032	0.0817444671768142	1.22977063710359	0.161446180613849	0.224620773027964
Nonsynonymous_CLOCK16	kidney chromophobe	66	2	64	3.03030303030303	0.354886404966878	0.0420031104632951	1.33953142982913	0.171655853522195	0.228874471362926
Nonsynonymous_CLOCK16	sarcoma	261	15	246	5.74712643678161	0.689954220910985	0.378501371175144	1.16748623676748	0.203973288165376	0.261085808851681
Nonsynonymous_CLOCK16	adrenocortical cancer	92	4	88	4.34782608695652	0.516136426121911	0.13724485680055	1.37414072670504	0.247072057818122	0.304088686545381
Nonsynonymous_CLOCK16	cholangiocarcinoma	36	1	35	2.77777777777778	0.32505960774107	0.00799732102507605	1.93904749000806	0.361681777910639	0.41937476066863
Nonsynonymous_CLOCK16	head & neck squamous cell carcinoma	528	48	480	9.09090909090909	1.14873215336832	0.828122991518482	1.56285822861802	0.366952915585051	0.41937476066863
Nonsynonymous_CLOCK16	liver hepatocellular carcinoma	377	35	342	9.28381962864722	1.17419436584036	0.798548704121763	1.67947027173013	0.38513910907098	0.424981085871426
Nonsynonymous_CLOCK16	kidney papillary cell carcinoma	291	26	265	8.93470790378007	1.12258503188264	0.715397254104257	1.69465097718062	0.584365582368666	0.623323287859911
Nonsynonymous_CLOCK16	uterine carcinosarcoma	57	3	54	5.26315789473684	0.632311213123304	0.126183080742236	1.95540958618122	0.624909324841891	0.645067690159371
Nonsynonymous_CLOCK16	diffuse large B-cell lymphoma	48	3	45	6.25	0.759417339129071	0.15068405237262	2.37356635877645	1	1
Damaging_CLOCK16	uterine corpus endometrioid carcinoma	547	79	468	14.4424131627057	5.19662440856223	3.93923177633912	6.79342800025347	1.46375169790284e-26	4.68400543328907e-25
Damaging_CLOCK16	ovarian serous cystadenocarcinoma	592	1	591	0.168918918918919	0.0412791189960555	0.00104441576979106	0.232162387730253	4.11932974430897e-09	4.89531687489163e-08
Damaging_CLOCK16	thyroid carcinoma	507	0	507	0	0	0	0.18004227411743	4.5893595702109e-09	4.89531687489163e-08
Damaging_CLOCK16	bladder urothelial carcinoma	412	38	374	9.22330097087379	2.79553805272724	1.91542919519978	3.98377250200961	3.26271965612817e-07	2.61017572490254e-06
Damaging_CLOCK16	stomach adenocarcinoma	478	41	437	8.57740585774059	2.5865202098719	1.79885387997604	3.63878053119958	6.55369014858384e-07	4.19436169509366e-06
Damaging_CLOCK16	breast invasive carcinoma	1101	15	1086	1.36239782016349	0.331223583487861	0.182847396478359	0.556010233436456	1.31711671616759e-06	7.02462248622714e-06
Damaging_CLOCK16	brain lower grade glioma	516	3	513	0.581395348837209	0.144495819162618	0.0295927647979286	0.42788882216075	6.73503835730165e-06	3.07887467762361e-05
Damaging_CLOCK16	kidney clear cell carcinoma	536	4	532	0.746268656716418	0.185889263414974	0.0501754305620131	0.482689457360024	1.82066474733696e-05	7.28265898934782e-05
Damaging_CLOCK16	colon adenocarcinoma	461	36	425	7.80911062906725	2.30577219820814	1.56768026168357	3.30456971689471	2.37638086594497e-05	8.44935419002658e-05
Damaging_CLOCK16	glioblastoma multiforme	594	7	587	1.17845117845118	0.295411663956838	0.117438640301043	0.61854944235569	0.000199853674762075	0.000639531759238639
Damaging_CLOCK16	cervical & endocervical cancer	308	24	284	7.79220779220779	2.25803670228825	1.40481104287035	3.48112949188431	0.000611217581013513	0.00177808750840295
Damaging_CLOCK16	lung squamous cell carcinoma	506	32	474	6.32411067193676	1.80826422480885	1.20436244649183	2.63446540883081	0.00354292606012873	0.00944780282700995
Damaging_CLOCK16	lung adenocarcinoma	520	32	488	6.15384615384615	1.75393308177484	1.16847147509278	2.55421229000854	0.0058313709366596	0.0143541438440852
Damaging_CLOCK16	prostate adenocarcinoma	498	8	490	1.60642570281125	0.409579412290265	0.174545118190134	0.82180133963357	0.00730076806742274	0.0166874698683948
Damaging_CLOCK16	thymoma	124	0	124	0	0	0	0.773851685782697	0.0152814507026564	0.0310472912093424
Damaging_CLOCK16	pheochromocytoma & paraganglioma	179	1	178	0.558659217877095	0.142881196314904	0.00359184934137421	0.811192452814094	0.0155236456046712	0.0310472912093424
Damaging_CLOCK16	testicular germ cell tumor	150	1	149	0.666666666666667	0.171188994928504	0.00429792237433178	0.974278058636935	0.0467194190307473	0.0879424358225832
Damaging_CLOCK16	uveal melanoma	80	0	80	0	0	0	1.21461168045217	0.07659610737302	0.133942211329638
Damaging_CLOCK16	mesothelioma	87	0	87	0	0	0	1.11401622234378	0.0795281879769727	0.133942211329638
Damaging_CLOCK16	skin cutaneous melanoma	104	7	97	6.73076923076923	1.87861067666582	0.730862522972671	4.05717630354587	0.112207490270782	0.179531984433251
Damaging_CLOCK16	sarcoma	261	5	256	1.91570881226054	0.497908970136684	0.15938419767782	1.18745827810622	0.135705847845181	0.206789863383132
Damaging_CLOCK16	pancreatic adenocarcinoma	185	3	182	1.62162162162162	0.421194420504309	0.0856785756888812	1.25988088168388	0.166960403646416	0.242851496212969
Damaging_CLOCK16	kidney chromophobe	66	0	66	0	0	0	1.48151986525833	0.179979031965182	0.250405609690688
Damaging_CLOCK16	diffuse large B-cell lymphoma	48	0	48	0	0	0	2.0623743732025	0.263620455230936	0.348896321946546
Damaging_CLOCK16	kidney papillary cell carcinoma	291	7	284	2.40549828178694	0.629802671714247	0.249208871065446	1.32744328283201	0.272575251520739	0.348896321946546
Damaging_CLOCK16	liver hepatocellular carcinoma	377	10	367	2.6525198938992	0.695785556982686	0.328154207429186	1.30859024054616	0.331087156545635	0.407491884979243
Damaging_CLOCK16	head & neck squamous cell carcinoma	528	23	505	4.35606060606061	1.1867078293839	0.735921392989782	1.82882874775073	0.409617324808748	0.485472384958516
Damaging_CLOCK16	esophageal carcinoma	185	9	176	4.86486486486487	1.32764871346225	0.592579823292459	2.60525735070067	0.428561247407198	0.489784282751083
Damaging_CLOCK16	rectum adenocarcinoma	167	4	163	2.39520958083832	0.629830839432628	0.168740823038575	1.6569711815944	0.533173731960541	0.588329635266803
Damaging_CLOCK16	uterine carcinosarcoma	57	1	56	1.75438596491228	0.459686795074814	0.011410241135972	2.68346383329865	0.724851890323148	0.773175349678024
Damaging_CLOCK16	cholangiocarcinoma	36	1	35	2.77777777777778	0.736999432788889	0.0181014885442912	4.40941302378352	1	1
Damaging_CLOCK16	adrenocortical cancer	92	3	89	3.26086956521739	0.869277107092181	0.175152729630005	2.64283723076757	1	1
