phenotype	cancer_type	total_primary_patients	mutated_patients	nonmutated_patients	prevalence_percent	odds_ratio	lower_95CI	upper_95CI	fisher_p	FDR
Damaging_CLOCK16	uterine corpus endometrioid carcinoma	547	79	468	14.4424131627057	5.19662440856223	3.93923177633912	6.79342800025347	1.46375169790284e-26	4.68400543328907e-25
Damaging_CLOCK16	ovarian serous cystadenocarcinoma	592	1	591	0.168918918918919	0.0412791189960555	0.00104441576979106	0.232162387730253	4.11932974430897e-09	4.89531687489163e-08
Damaging_CLOCK16	thyroid carcinoma	507	0	507	0	0	0	0.18004227411743	4.5893595702109e-09	4.89531687489163e-08
Damaging_CLOCK16	bladder urothelial carcinoma	412	38	374	9.22330097087379	2.79553805272724	1.91542919519978	3.98377250200961	3.26271965612817e-07	2.61017572490254e-06
Damaging_CLOCK16	stomach adenocarcinoma	478	41	437	8.57740585774059	2.5865202098719	1.79885387997604	3.63878053119958	6.55369014858384e-07	4.19436169509366e-06
Damaging_CLOCK16	breast invasive carcinoma	1101	15	1086	1.36239782016349	0.331223583487861	0.182847396478359	0.556010233436456	1.31711671616759e-06	7.02462248622714e-06
Damaging_CLOCK16	brain lower grade glioma	516	3	513	0.581395348837209	0.144495819162618	0.0295927647979286	0.42788882216075	6.73503835730165e-06	3.07887467762361e-05
Damaging_CLOCK16	kidney clear cell carcinoma	536	4	532	0.746268656716418	0.185889263414974	0.0501754305620131	0.482689457360024	1.82066474733696e-05	7.28265898934782e-05
Damaging_CLOCK16	colon adenocarcinoma	461	36	425	7.80911062906725	2.30577219820814	1.56768026168357	3.30456971689471	2.37638086594497e-05	8.44935419002658e-05
Damaging_CLOCK16	glioblastoma multiforme	594	7	587	1.17845117845118	0.295411663956838	0.117438640301043	0.61854944235569	0.000199853674762075	0.000639531759238639
Damaging_CLOCK16	cervical & endocervical cancer	308	24	284	7.79220779220779	2.25803670228825	1.40481104287035	3.48112949188431	0.000611217581013513	0.00177808750840295
Damaging_CLOCK16	lung squamous cell carcinoma	506	32	474	6.32411067193676	1.80826422480885	1.20436244649183	2.63446540883081	0.00354292606012873	0.00944780282700995
Damaging_CLOCK16	lung adenocarcinoma	520	32	488	6.15384615384615	1.75393308177484	1.16847147509278	2.55421229000854	0.0058313709366596	0.0143541438440852
Damaging_CLOCK16	prostate adenocarcinoma	498	8	490	1.60642570281125	0.409579412290265	0.174545118190134	0.82180133963357	0.00730076806742274	0.0166874698683948
Damaging_CLOCK16	thymoma	124	0	124	0	0	0	0.773851685782697	0.0152814507026564	0.0310472912093424
Damaging_CLOCK16	pheochromocytoma & paraganglioma	179	1	178	0.558659217877095	0.142881196314904	0.00359184934137421	0.811192452814094	0.0155236456046712	0.0310472912093424
Damaging_CLOCK16	testicular germ cell tumor	150	1	149	0.666666666666667	0.171188994928504	0.00429792237433178	0.974278058636935	0.0467194190307473	0.0879424358225832
Damaging_CLOCK16	uveal melanoma	80	0	80	0	0	0	1.21461168045217	0.07659610737302	0.133942211329638
Damaging_CLOCK16	mesothelioma	87	0	87	0	0	0	1.11401622234378	0.0795281879769727	0.133942211329638
Damaging_CLOCK16	skin cutaneous melanoma	104	7	97	6.73076923076923	1.87861067666582	0.730862522972671	4.05717630354587	0.112207490270782	0.179531984433251
Damaging_CLOCK16	sarcoma	261	5	256	1.91570881226054	0.497908970136684	0.15938419767782	1.18745827810622	0.135705847845181	0.206789863383132
Damaging_CLOCK16	pancreatic adenocarcinoma	185	3	182	1.62162162162162	0.421194420504309	0.0856785756888812	1.25988088168388	0.166960403646416	0.242851496212969
Damaging_CLOCK16	kidney chromophobe	66	0	66	0	0	0	1.48151986525833	0.179979031965182	0.250405609690688
Damaging_CLOCK16	diffuse large B-cell lymphoma	48	0	48	0	0	0	2.0623743732025	0.263620455230936	0.348896321946546
Damaging_CLOCK16	kidney papillary cell carcinoma	291	7	284	2.40549828178694	0.629802671714247	0.249208871065446	1.32744328283201	0.272575251520739	0.348896321946546
Damaging_CLOCK16	liver hepatocellular carcinoma	377	10	367	2.6525198938992	0.695785556982686	0.328154207429186	1.30859024054616	0.331087156545635	0.407491884979243
Damaging_CLOCK16	head & neck squamous cell carcinoma	528	23	505	4.35606060606061	1.1867078293839	0.735921392989782	1.82882874775073	0.409617324808748	0.485472384958516
Damaging_CLOCK16	esophageal carcinoma	185	9	176	4.86486486486487	1.32764871346225	0.592579823292459	2.60525735070067	0.428561247407198	0.489784282751083
Damaging_CLOCK16	rectum adenocarcinoma	167	4	163	2.39520958083832	0.629830839432628	0.168740823038575	1.6569711815944	0.533173731960541	0.588329635266803
Damaging_CLOCK16	uterine carcinosarcoma	57	1	56	1.75438596491228	0.459686795074814	0.011410241135972	2.68346383329865	0.724851890323148	0.773175349678024
Damaging_CLOCK16	cholangiocarcinoma	36	1	35	2.77777777777778	0.736999432788889	0.0181014885442912	4.40941302378352	1	1
Damaging_CLOCK16	adrenocortical cancer	92	3	89	3.26086956521739	0.869277107092181	0.175152729630005	2.64283723076757	1	1
