Cancer_Type	Cancer_Patients	Cancer_CLOCK16_Mutated	Cancer_Prevalence_Percent	Other_Patients	Other_CLOCK16_Mutated	Other_Prevalence_Percent	Odds_Ratio	OR_Lower_95CI	OR_Upper_95CI	Fisher_P	FDR	Direction
uterine corpus endometrioid carcinoma	547	154	28.154	10046	1011	10.063706948039021	3.5019115430015377	2.87474163298175	4.265908391317774	2.7328141739977032e-30	8.74500535679265e-29	Enriched
ovarian serous cystadenocarcinoma	592	5	0.845	10001	1160	11.598840115988402	0.06491952064853433	0.02686324926653262	0.15688884540434705	6.460869828497382e-24	1.0337391725595812e-22	Depleted
bladder urothelial carcinoma	412	116	28.155	10181	1049	10.303506531774875	3.411588900626079	2.7269197354760446	4.268163332956781	7.450502052446692e-23	7.947202189276472e-22	Enriched
thyroid carcinoma	507	6	1.183	10086	1159	11.49117588736863	0.09224346819734129	0.04114756793623494	0.2067888298589073	9.415006244590809e-19	7.532004995672647e-18	Depleted
brain lower grade glioma	516	13	2.519	10077	1152	11.431973801726704	0.20023090622929093	0.11506261366872703	0.3484399887250246	3.208636223971322e-13	2.053527183341646e-12	Depleted
stomach adenocarcinoma	478	105	21.967	10115	1060	10.479485912011864	2.404711922707269	1.9188842634105463	3.0135425786090213	1.3192929486452644e-12	7.03622905944141e-12	Enriched
breast invasive carcinoma	1101	58	5.268	9492	1107	11.662452591656132	0.42121044412745184	0.32098234486937804	0.5527351926918118	4.359549007176666e-12	1.9929366889950472e-11	Depleted
lung squamous cell carcinoma	506	107	21.146	10087	1058	10.488747893328046	2.2885735131780303	1.831703727666284	2.859397317432472	9.942422104409413e-12	3.976968841763765e-11	Enriched
glioblastoma multiforme	594	22	3.704	9999	1143	11.431143114311432	0.29800121138703817	0.19380089532816308	0.4582265826882232	5.434914618128312e-11	1.9324140864456222e-10	Depleted
skin cutaneous melanoma	104	33	31.731	10489	1132	10.792258556583088	3.841897675807495	2.530573452315414	5.832740297607178	8.836981147016116e-09	2.827833967045157e-08	Enriched
prostate adenocarcinoma	498	23	4.618	10095	1142	11.312530955918772	0.37960918056963777	0.24868042591619569	0.5794711402871493	3.375006679974248e-07	9.818201250834176e-07	Depleted
kidney clear cell carcinoma	536	26	4.851	10057	1139	11.325444963706872	0.3991599097935926	0.267869869434838	0.594798638318623	3.964702762101792e-07	1.0572540698938111e-06	Depleted
cervical & endocervical cancer	308	62	20.13	10285	1103	10.724355858045698	2.0980621954904954	1.5770708597081744	2.7911649936648573	1.8134233383561981e-06	4.463811294415257e-06	Enriched
lung adenocarcinoma	520	90	17.308	10073	1075	10.67209371587412	1.7519091400757165	1.3838500348100933	2.2178599977431968	1.0063041646662529e-05	2.300123804951435e-05	Enriched
