Cancer_Type	Gene	Cancer_Patients	Gene_Mutated_Cancer_Patients	Cancer_Prevalence_Percent	Other_Prevalence_Percent	Odds_Ratio	Fisher_P	Direction	FDR
uterine corpus endometrioid carcinoma	PER2	547	54	9.872029250457038	1.2741389607804101	8.487132352941176	4.252024603389935e-27	Enriched	2.177036596935647e-24
uterine corpus endometrioid carcinoma	NPAS2	547	45	8.226691042047532	1.1347800119450528	7.80981337806668	8.558016411006224e-22	Enriched	2.1908522012175934e-19
uterine corpus endometrioid carcinoma	ARNTL	547	36	6.581352833638026	0.6669321122834959	10.492858603265473	4.348757461004034e-21	Enriched	7.421879400113552e-19
uterine corpus endometrioid carcinoma	CLOCK	547	39	7.1297989031078615	0.885924746167629	8.588936565513581	2.6888771634418552e-20	Enriched	3.4417627692055746e-18
uterine corpus endometrioid carcinoma	PER1	547	44	8.043875685557587	1.2442763288871193	6.942727634194831	9.2419298206173e-20	Enriched	9.463736136312115e-18
uterine corpus endometrioid carcinoma	RORA	547	35	6.39853747714808	0.7465657973322716	9.088151041666666	5.147750561312333e-19	Enriched	4.3927471456531907e-17
uterine corpus endometrioid carcinoma	PER3	547	43	7.861060329067642	1.2840931714115071	6.5588624338624335	1.3178279700847e-18	Enriched	9.638970295476663e-17
uterine corpus endometrioid carcinoma	RORC	547	36	6.581352833638026	0.8759705355365319	7.972069026863547	4.702659945994903e-18	Enriched	3.009702365436738e-16
uterine corpus endometrioid carcinoma	CRY2	547	28	5.118829981718465	0.6271152697591081	8.54891886105759	4.923442713445943e-15	Enriched	2.8008918547603586e-13
uterine corpus endometrioid carcinoma	CSNK1D	547	26	4.753199268738574	0.5972526378658173	8.305694177863083	7.56310080290481e-14	Enriched	3.872307611087263e-12
uterine corpus endometrioid carcinoma	TIMELESS	547	39	7.1297989031078615	1.5429026478200278	4.899022098044196	1.3092295080954022e-13	Enriched	6.093868255862236e-12
uterine corpus endometrioid carcinoma	CRY1	547	27	4.936014625228519	0.6967947441767868	7.39978021978022	2.3430594179614474e-13	Enriched	9.997053516635508e-12
uterine corpus endometrioid carcinoma	NR1D1	547	24	4.387568555758683	0.5375273740792356	8.49118334395581	4.535658407264078e-13	Enriched	1.786351618860929e-11
uterine corpus endometrioid carcinoma	RORB	547	32	5.850091407678245	1.0750547481584711	5.717655519597267	5.539115729961362e-13	Enriched	2.0257337526715838e-11
uterine corpus endometrioid carcinoma	CSNK1E	547	27	4.936014625228519	0.7465657973322716	6.903	8.864152841897808e-13	Enriched	3.0256308367011186e-11
uterine corpus endometrioid carcinoma	NR1D2	547	20	3.656307129798903	0.6370694803902051	5.919117647058823	6.238307691864535e-09	Enriched	1.9962584613966513e-07
skin cutaneous melanoma	RORB	104	9	8.653846153846153	1.2489274478024597	7.490719164323021	9.01549517065671e-06	Enriched	0.0002715255016103668
stomach adenocarcinoma	RORA	478	16	3.3472803347280333	0.9293129016312407	3.691995947315096	3.178840283080002e-05	Enriched	0.0008716677134803646
colon adenocarcinoma	CSNK1E	461	15	3.2537960954446854	0.8586656138965654	3.8831761249420134	3.234704405493541e-05	Enriched	0.0008716677134803646
stomach adenocarcinoma	NR1D1	478	13	2.719665271966527	0.6426099851705388	4.32258064516129	4.09475351362967e-05	Enriched	0.0010482568994891954
ovarian serous cystadenocarcinoma	PER2	592	0	0.0	1.8198180181981802	0.0	5.2500264333048914e-05	Depleted	0.0012800064446914783
stomach adenocarcinoma	ARNTL	478	15	3.1380753138075312	0.8699950568462679	3.6914637738071865	5.51079127602189e-05	Enriched	0.0012825114242378218
stomach adenocarcinoma	TIMELESS	478	22	4.602510460251046	1.7004448838358872	2.788989188086495	6.203787080224077e-05	Enriched	0.0013810169500324903
bladder urothelial carcinoma	TIMELESS	412	20	4.854368932038835	1.709065907081819	2.934259910860896	6.575861509342769e-05	Enriched	0.0014028504553264575
bladder urothelial carcinoma	NR1D2	412	12	2.912621359223301	0.7071996856890286	4.212083333333333	9.112239339891387e-05	Enriched	0.0018463695434242171
stomach adenocarcinoma	PER3	478	20	4.184100418410042	1.5027187345526445	2.862273040680303	9.376095337701103e-05	Enriched	0.0018463695434242171
colon adenocarcinoma	PER1	461	19	4.1214750542299345	1.4804579549940782	2.860603318250377	0.00013648287813046287	Enriched	0.002588119763066555
ovarian serous cystadenocarcinoma	NPAS2	592	0	0.0	1.5898410158984102	0.0	0.00017116107473587227	Depleted	0.00312980250945595
skin cutaneous melanoma	RORC	104	7	6.730769230769231	1.1154542854418914	6.39739184069081	0.00021099205502160187	Enriched	0.003725101109346902
thyroid carcinoma	PER2	507	0	0.0	1.8044814594487408	0.0	0.00028431154541063287	Depleted	0.004852250375008135
stomach adenocarcinoma	NR1D2	478	12	2.510460251046025	0.7118141374196737	3.5919170243204577	0.00036303883823020073	Enriched	0.005868120983485583
ovarian serous cystadenocarcinoma	TIMELESS	592	1	0.16891891891891891	1.9298070192980703	0.08598756827367332	0.00036675756146784894	Depleted	0.005868120983485583
thyroid carcinoma	PER1	507	0	0.0	1.6755899266309737	0.0	0.00039783891644035375	Depleted	0.006164921577557671
thyroid carcinoma	PER3	507	0	0.0	1.7053341265119968	0.0	0.0004093893235096891	Depleted	0.006164921577557671
ovarian serous cystadenocarcinoma	RORB	592	0	0.0	1.3998600139986002	0.0	0.0005843114687945506	Depleted	0.008478508476330436
