gene	effect	Mutation_Events	Unique_Patients
ARNTL	Missense_Mutation	57	52
ARNTL	Silent	30	29
ARNTL	Intron	13	13
ARNTL	3'UTR	6	6
ARNTL	Splice_Site	4	4
ARNTL	Nonsense_Mutation	3	3
ARNTL	Frame_Shift_Del	1	1
ARNTL	Frame_Shift_Ins	1	1
CLOCK	Missense_Mutation	71	64
CLOCK	3'UTR	36	32
CLOCK	Silent	26	26
CLOCK	Nonsense_Mutation	12	12
CLOCK	Frame_Shift_Del	5	5
CLOCK	Splice_Site	5	4
CLOCK	5'UTR	4	4
CLOCK	Intron	3	3
CLOCK	Frame_Shift_Ins	2	2
CLOCK	In_Frame_Del	1	1
CRY1	Missense_Mutation	59	54
CRY1	Silent	23	22
CRY1	Nonsense_Mutation	12	12
CRY1	3'UTR	12	11
CRY1	Splice_Site	2	2
CRY1	Intron	2	2
CRY1	Frame_Shift_Del	2	2
CRY1	Frame_Shift_Ins	1	1
CRY1	5'UTR	1	1
CRY2	Missense_Mutation	64	60
CRY2	Silent	15	15
CRY2	3'UTR	14	12
CRY2	Nonsense_Mutation	6	6
CRY2	5'Flank	3	3
CRY2	Intron	2	2
CRY2	Splice_Site	1	1
CRY2	In_Frame_Del	1	1
CSNK1D	Missense_Mutation	45	43
CSNK1D	3'UTR	18	17
CSNK1D	Silent	18	18
CSNK1D	Frame_Shift_Del	7	7
CSNK1D	Intron	6	6
CSNK1D	3'Flank	3	3
CSNK1D	5'UTR	2	2
CSNK1E	Missense_Mutation	55	52
CSNK1E	Silent	20	18
CSNK1E	Intron	17	16
CSNK1E	3'UTR	12	12
CSNK1E	Frame_Shift_Del	4	4
CSNK1E	In_Frame_Del	4	4
CSNK1E	Nonsense_Mutation	1	1
CSNK1E	5'UTR	1	1
CSNK1E	Nonstop_Mutation	1	1
NPAS2	Missense_Mutation	104	88
NPAS2	Silent	38	37
NPAS2	3'UTR	35	30
NPAS2	Nonsense_Mutation	7	7
NPAS2	Intron	5	5
NPAS2	Splice_Site	4	4
NPAS2	5'UTR	3	3
NPAS2	Frame_Shift_Del	3	3
NPAS2	In_Frame_Del	1	1
NR1D1	Missense_Mutation	51	50
NR1D1	Silent	17	16
NR1D1	5'UTR	9	9
NR1D1	3'UTR	6	6
NR1D1	Frame_Shift_Del	3	3
NR1D1	Nonsense_Mutation	2	2
NR1D1	Frame_Shift_Ins	1	1
NR1D2	Missense_Mutation	59	54
NR1D2	Silent	20	20
NR1D2	3'UTR	4	4
NR1D2	Nonsense_Mutation	4	4
NR1D2	Frame_Shift_Del	4	4
NR1D2	Splice_Site	3	3
NR1D2	In_Frame_Del	1	1
PER1	Missense_Mutation	144	122
PER1	Silent	42	38
PER1	Frame_Shift_Del	9	8
PER1	3'UTR	8	8
PER1	5'UTR	7	7
PER1	Nonsense_Mutation	4	4
PER1	Intron	2	2
PER1	Frame_Shift_Ins	2	2
PER1	Splice_Site	1	1
PER2	Missense_Mutation	140	119
PER2	Silent	58	55
PER2	3'UTR	12	12
PER2	Nonsense_Mutation	8	8
PER2	Frame_Shift_Del	8	6
PER2	Splice_Site	4	4
PER2	Intron	3	3
PER2	Frame_Shift_Ins	1	1
PER3	Missense_Mutation	126	106
PER3	Silent	51	47
PER3	3'UTR	17	17
PER3	Nonsense_Mutation	15	15
PER3	5'UTR	6	6
PER3	Intron	5	5
PER3	Frame_Shift_Del	5	5
PER3	Nonstop_Mutation	1	1
PER3	5'Flank	1	1
PER3	Frame_Shift_Ins	1	1
RORA	Missense_Mutation	62	60
RORA	Silent	26	25
RORA	Intron	15	15
RORA	Frame_Shift_Del	7	7
RORA	Nonsense_Mutation	5	4
RORA	3'UTR	4	4
RORA	5'UTR	3	3
RORA	Splice_Site	3	3
RORA	Frame_Shift_Ins	1	1
RORB	Missense_Mutation	67	63
RORB	Silent	34	33
RORB	3'UTR	31	27
RORB	5'UTR	11	11
RORB	Nonsense_Mutation	10	10
RORB	Splice_Site	2	2
RORB	Frame_Shift_Ins	1	1
RORB	Intron	1	1
RORB	In_Frame_Del	1	1
RORC	Missense_Mutation	67	63
RORC	Silent	35	34
RORC	3'UTR	13	13
RORC	Intron	7	7
RORC	5'UTR	3	3
RORC	3'Flank	3	3
RORC	Nonsense_Mutation	3	3
RORC	Frame_Shift_Ins	2	2
RORC	Frame_Shift_Del	2	2
RORC	Splice_Site	1	1
RORC	In_Frame_Del	1	1
TIMELESS	Missense_Mutation	133	117
TIMELESS	Silent	55	53
TIMELESS	Nonsense_Mutation	13	13
TIMELESS	Splice_Site	5	5
TIMELESS	3'UTR	5	5
TIMELESS	5'UTR	3	3
TIMELESS	In_Frame_Del	2	2
TIMELESS	Frame_Shift_Del	2	2
TIMELESS	Frame_Shift_Ins	1	1
TIMELESS	In_Frame_Ins	1	1
TIMELESS	Nonstop_Mutation	1	1
TIMELESS	Intron	1	1
