gene	effect_class	Mutation_Events	Unique_Patients
ARNTL	nonsynonymous	66	59
ARNTL	silent	30	29
ARNTL	other	19	18
CLOCK	nonsynonymous	96	83
CLOCK	other	43	38
CLOCK	silent	26	26
CRY1	nonsynonymous	76	66
CRY1	silent	23	22
CRY1	other	15	14
CRY2	nonsynonymous	72	67
CRY2	other	19	17
CRY2	silent	15	15
CSNK1D	nonsynonymous	52	50
CSNK1D	other	29	26
CSNK1D	silent	18	18
CSNK1E	nonsynonymous	65	61
CSNK1E	other	30	29
CSNK1E	silent	20	18
NPAS2	nonsynonymous	119	101
NPAS2	other	43	36
NPAS2	silent	38	37
NR1D1	nonsynonymous	57	55
NR1D1	silent	17	16
NR1D1	other	15	15
NR1D2	nonsynonymous	71	64
NR1D2	silent	20	20
NR1D2	other	4	4
PER1	nonsynonymous	160	130
PER1	silent	42	38
PER1	other	17	17
PER2	nonsynonymous	161	134
PER2	silent	58	55
PER2	other	15	15
PER3	nonsynonymous	148	126
PER3	silent	51	47
PER3	other	29	26
RORA	nonsynonymous	78	72
RORA	silent	26	25
RORA	other	22	22
RORB	nonsynonymous	81	76
RORB	other	43	39
RORB	silent	34	33
RORC	nonsynonymous	76	72
RORC	silent	35	34
RORC	other	26	25
TIMELESS	nonsynonymous	158	139
TIMELESS	silent	55	53
TIMELESS	other	9	9
