gene	Mutation_Events	Mutated_Patients	Nonsynonymous_Events	Nonsynonymous_Patients	Silent_Events	Silent_Patients	Other_Events	Other_Patients	Mutated_Prevalence_Percent	Nonsynonymous_Prevalence_Percent
TIMELESS	222	194	158	139	55	53	9	9	1.83139809308034	1.3121872934957
PER2	234	182	161	134	58	55	15	15	1.71811573680733	1.26498631171528
PER1	219	169	160	130	42	38	17	17	1.59539318417823	1.22722552629095
PER3	228	172	148	126	51	47	29	26	1.62371377324648	1.18946474086661
NPAS2	200	159	119	101	38	37	43	36	1.50099122061739	0.953459831964505
CLOCK	165	128	96	83	26	26	43	38	1.20834513357878	0.783536297554989
RORB	158	140	81	76	34	33	43	39	1.32162748985179	0.7174549230624
RORC	137	124	76	72	35	34	26	25	1.17058434815444	0.679694137638063
RORA	126	110	78	72	26	25	22	22	1.03842159916926	0.679694137638063
CRY2	106	91	72	67	15	15	19	17	0.859057868403663	0.632493155857642
CRY1	114	97	76	66	23	22	15	14	0.915699046540168	0.623052959501558
NR1D2	95	84	71	64	20	20	4	4	0.792976493911073	0.604172566789389
CSNK1E	115	102	65	61	20	18	30	29	0.962900028320589	0.575851977721137
ARNTL	115	103	66	59	30	29	19	18	0.972340224676673	0.556971585008968
NR1D1	89	78	57	55	17	16	15	15	0.736335315774568	0.519210799584631
CSNK1D	99	86	52	50	18	18	29	26	0.811856886623242	0.47200981780421
