gene	Nonsynonymous_Events	Patients	Strong_Damaging_Events	Strong_Damaging_Patients	Damaging_Events	Damaging_Patients	SIFT_Deleterious	PolyPhen_Damaging
PER1	160	130	43	41	59	56	74	83
PER2	161	134	42	38	60	55	73	72
NPAS2	119	101	33	31	46	43	59	59
NR1D2	71	64	31	28	39	35	45	41
RORB	81	76	31	29	38	35	50	41
TIMELESS	158	139	30	30	53	47	66	65
CRY1	76	66	27	26	32	31	37	45
RORC	76	72	26	26	30	30	40	31
ARNTL	66	59	22	21	29	27	33	34
CSNK1D	52	50	21	20	33	31	38	34
CSNK1E	65	61	21	21	29	29	41	32
CLOCK	96	83	19	19	34	33	44	41
CRY2	72	67	17	17	30	30	47	31
NR1D1	57	55	14	14	22	22	24	23
PER3	148	126	12	11	46	39	60	77
RORA	78	72	12	12	18	17	26	22
