gene	Mutated_Patients	Prevalence_Percent	Mutation_Events
TIMELESS	194	1.83139809308034	222
PER2	182	1.71811573680733	234
PER3	172	1.62371377324648	228
PER1	169	1.59539318417823	219
NPAS2	159	1.50099122061739	200
RORB	140	1.32162748985179	158
CLOCK	128	1.20834513357878	165
RORC	124	1.17058434815444	137
RORA	110	1.03842159916926	126
ARNTL	103	0.972340224676673	115
CSNK1E	102	0.962900028320589	115
CRY1	97	0.915699046540168	114
CRY2	91	0.859057868403663	106
CSNK1D	86	0.811856886623242	99
NR1D2	84	0.792976493911073	95
NR1D1	78	0.736335315774568	89
