gene	Mutated_Patients	Prevalence_Percent	Lower_95CI	Upper_95CI	Mutation_Events
TIMELESS	214	2.02	1.761	2.306	245
PER2	201	1.897	1.646	2.176	262
PER3	198	1.869	1.62	2.145	255
PER1	193	1.822	1.576	2.095	245
NPAS2	177	1.671	1.435	1.933	221
RORB	173	1.633	1.4	1.893	203
RORC	151	1.425	1.208	1.67	169
CLOCK	133	1.256	1.052	1.486	171
RORA	123	1.161	0.966	1.384	142
ARNTL	112	1.057	0.871	1.271	126
CRY2	108	1.02	0.837	1.23	126
CSNK1E	108	1.02	0.837	1.23	122
CRY1	104	0.982	0.803	1.188	124
CSNK1D	98	0.925	0.752	1.126	112
NR1D2	94	0.887	0.718	1.085	107
NR1D1	85	0.802	0.641	0.991	96
