Gene1	Gene2	Gene1_Mutant	Gene2_Mutant	CoMutated_Patients
PER1	PER2	44	54	26
PER2	PER3	54	43	26
NPAS2	PER2	45	54	25
NPAS2	PER3	45	43	25
PER2	RORC	54	36	23
PER2	TIMELESS	54	39	23
PER3	TIMELESS	43	39	23
PER1	PER3	44	43	21
ARNTL	PER3	36	43	20
CRY2	PER3	28	43	20
NPAS2	PER1	45	44	20
PER1	TIMELESS	44	39	20
PER3	RORB	43	32	20
ARNTL	PER1	36	44	19
ARNTL	PER2	36	54	19
CLOCK	PER1	39	44	19
CLOCK	PER2	39	54	19
CSNK1D	NPAS2	26	45	19
NPAS2	RORB	45	32	19
PER2	RORA	54	35	19
ARNTL	NPAS2	36	45	18
CLOCK	NPAS2	39	45	18
CLOCK	PER3	39	43	18
CLOCK	RORB	39	32	18
CRY2	PER2	28	54	18
NPAS2	TIMELESS	45	39	18
PER1	RORA	44	35	18
PER3	RORA	43	35	18
CRY1	NPAS2	27	45	17
CRY1	PER2	27	54	17
CRY2	NPAS2	28	45	17
CRY2	PER1	28	44	17
PER1	RORB	44	32	17
PER1	RORC	44	36	17
PER2	RORB	54	32	17
CRY1	PER3	27	43	16
CSNK1D	PER2	26	54	16
CSNK1E	NPAS2	27	45	16
CSNK1D	PER3	26	43	15
CSNK1E	PER2	27	54	15
NR1D2	PER2	20	54	15
RORA	TIMELESS	35	39	15
ARNTL	RORB	36	32	14
CLOCK	CRY1	39	27	14
CLOCK	RORC	39	36	14
CLOCK	TIMELESS	39	39	14
CRY2	TIMELESS	28	39	14
NPAS2	RORC	45	36	14
ARNTL	CRY1	36	27	13
ARNTL	CRY2	36	28	13
ARNTL	TIMELESS	36	39	13
CLOCK	NR1D2	39	20	13
CLOCK	RORA	39	35	13
CRY2	RORB	28	32	13
CSNK1D	PER1	26	44	13
NR1D1	PER1	24	44	13
NR1D2	PER1	20	44	13
PER3	RORC	43	36	13
RORB	RORC	32	36	13
RORB	TIMELESS	32	39	13
RORC	TIMELESS	36	39	13
ARNTL	CLOCK	36	39	12
ARNTL	RORA	36	35	12
CLOCK	CSNK1D	39	26	12
CRY1	RORA	27	35	12
CRY1	TIMELESS	27	39	12
CSNK1D	RORB	26	32	12
CSNK1E	PER1	27	44	12
CSNK1E	PER3	27	43	12
NPAS2	NR1D2	45	20	12
NPAS2	RORA	45	35	12
NR1D1	PER3	24	43	12
NR1D2	PER3	20	43	12
RORA	RORB	35	32	12
ARNTL	RORC	36	36	11
CLOCK	CRY2	39	28	11
CRY1	PER1	27	44	11
CRY2	CSNK1D	28	26	11
CRY2	RORA	28	35	11
CRY2	RORC	28	36	11
CSNK1D	CSNK1E	26	27	11
NPAS2	NR1D1	45	24	11
NR1D1	PER2	24	54	11
NR1D1	TIMELESS	24	39	11
NR1D2	TIMELESS	20	39	11
ARNTL	CSNK1D	36	26	10
ARNTL	CSNK1E	36	27	10
CLOCK	NR1D1	39	24	10
CRY1	RORB	27	32	10
CRY2	CSNK1E	28	27	10
CSNK1D	RORC	26	36	10
CSNK1D	TIMELESS	26	39	10
CSNK1E	TIMELESS	27	39	10
NR1D1	RORA	24	35	10
RORA	RORC	35	36	10
CRY2	NR1D1	28	24	9
CSNK1D	NR1D1	26	24	9
CSNK1D	NR1D2	26	20	9
CSNK1E	RORB	27	32	9
NR1D2	RORC	20	36	9
CLOCK	CSNK1E	39	27	8
CRY1	CRY2	27	28	8
CRY1	CSNK1D	27	26	8
CRY1	CSNK1E	27	27	8
CRY1	RORC	27	36	8
CRY2	NR1D2	28	20	8
NR1D1	RORB	24	32	8
NR1D1	RORC	24	36	8
NR1D2	RORB	20	32	8
ARNTL	NR1D2	36	20	7
CRY1	NR1D1	27	24	7
CRY1	NR1D2	27	20	7
CSNK1D	RORA	26	35	7
CSNK1E	NR1D1	27	24	7
CSNK1E	NR1D2	27	20	7
CSNK1E	RORC	27	36	7
NR1D2	RORA	20	35	7
CSNK1E	RORA	27	35	6
NR1D1	NR1D2	24	20	6
ARNTL	NR1D1	36	24	4
