Gene1	Gene2	Gene1_Mutant	Gene2_Mutant	Observed_CoMutation	Expected_CoMutation	Odds_Ratio	P_value	FDR	Direction	Observed_Expected_Ratio
NPAS2	PER3	45	43	25	3.5374771480804386	33.611111111111114	9.330925720810843e-20	1.1197110864973011e-17	Co-mutated	7.0671834625323005
PER3	TIMELESS	43	39	23	3.0658135283363803	35.075	8.689297340508574e-19	4.5402393010626073e-17	Co-mutated	7.502087060226595
CRY2	PER3	28	43	20	2.2010968921389398	53.91304347826087	1.2754725222219764e-18	4.5402393010626073e-17	Co-mutated	9.086378737541528
PER2	PER3	54	43	26	4.244972577696527	26.0	1.5134131003542024e-18	4.5402393010626073e-17	Co-mutated	6.1248923341946595
PER1	PER2	44	54	26	4.343692870201097	24.503968253968253	3.502067434778474e-18	8.404961843468337e-17	Co-mutated	5.985690235690236
CSNK1D	NPAS2	26	45	19	2.1389396709323583	51.675824175824175	1.8173845794628975e-17	3.634769158925795e-16	Co-mutated	8.882905982905983
PER2	RORC	54	36	23	3.553930530164534	27.39454094292804	5.1162659631229465e-17	8.770741651067909e-16	Co-mutated	6.471707818930041
PER3	RORB	43	32	20	2.5155393053016453	35.65217391304348	7.796402738066235e-17	1.1694604107099352e-15	Co-mutated	7.950581395348838
NPAS2	PER2	45	54	25	4.442413162705667	20.387931034482758	1.6778724640906851e-16	2.237163285454247e-15	Co-mutated	5.627572016460906
PER2	TIMELESS	54	39	23	3.850091407678245	22.118951612903224	6.977327204336618e-16	8.372792645203942e-15	Co-mutated	5.973884140550807
ARNTL	PER3	36	43	20	2.829981718464351	26.52173913043478	2.120556775122416e-15	2.3133346637699084e-14	Co-mutated	7.0671834625323
NPAS2	RORB	45	32	19	2.6325411334552102	27.488165680473372	7.165417237070788e-15	6.969663112529655e-14	Co-mutated	7.217361111111111
CLOCK	RORB	39	32	18	2.2815356489945153	30.244897959183675	7.550468371907126e-15	6.969663112529655e-14	Co-mutated	7.8894230769230775
PER1	PER3	44	43	21	3.458866544789762	19.962450592885375	1.950720428886362e-14	1.672046081902596e-13	Co-mutated	6.071353065539112
PER1	TIMELESS	44	39	20	3.137111517367459	21.228070175438596	3.100679369445103e-14	2.4805434955560825e-13	Co-mutated	6.375291375291375
CRY1	NPAS2	27	45	17	2.2212065813528334	29.87142857142857	7.230311384907796e-14	5.422733538680846e-13	Co-mutated	7.653497942386832
ARNTL	PER1	36	44	19	2.895795246800731	21.72705882352941	8.696377640565296e-14	6.138619510987268e-13	Co-mutated	6.561237373737374
CRY2	PER1	28	44	17	2.2522851919561244	28.161616161616163	1.1099044704974913e-13	7.399363136649943e-13	Co-mutated	7.54788961038961
CRY2	NPAS2	28	45	17	2.303473491773309	27.100649350649352	1.7471076055673702e-13	1.1034363824636023e-12	Co-mutated	7.38015873015873
CRY2	PER2	28	54	18	2.764168190127971	24.15	2.872388395243743e-13	1.7234330371462456e-12	Co-mutated	6.511904761904762
PER3	RORA	43	35	18	2.7513711151736744	20.625882352941176	5.539800234260571e-13	3.1656001338631835e-12	Co-mutated	6.542192691029901
CLOCK	PER1	39	44	19	3.137111517367459	18.354	6.045895011930188e-13	3.297760915598284e-12	Co-mutated	6.056526806526806
CRY1	PER3	27	43	16	2.1224862888482634	26.55892255892256	8.157404111273126e-13	4.256036927620761e-12	Co-mutated	7.53832902670112
PER1	RORA	44	35	18	2.8153564899451555	19.79185520361991	9.076964708734637e-13	4.538482354367318e-12	Co-mutated	6.393506493506493
NPAS2	PER1	45	44	20	3.619744058500914	15.933333333333334	1.0817179751597917e-12	5.1922462807669995e-12	Co-mutated	5.525252525252525
NR1D2	PER2	20	54	15	1.9744058500914077	37.53846153846154	1.2687969840801424e-12	5.855986080369888e-12	Co-mutated	7.597222222222222
CSNK1E	NPAS2	27	45	16	2.2212065813528334	24.6269592476489	1.9085781582622746e-12	8.482569592276776e-12	Co-mutated	7.203292181069959
PER1	RORB	44	32	17	2.574040219378428	20.483950617283952	2.390559379630686e-12	1.024525448413151e-11	Co-mutated	6.604403409090908
CRY1	PER2	27	54	17	2.6654478976234004	22.191891891891892	2.6039955289136848e-12	1.0775153912746283e-11	Co-mutated	6.377914951989026
ARNTL	NPAS2	36	45	18	2.9616087751371114	17.925925925925927	2.7835792165457518e-12	1.1134316866183007e-11	Co-mutated	6.077777777777778
PER2	RORA	54	35	19	3.4552102376599634	16.18392857142857	4.124944500494085e-12	1.596752709868678e-11	Co-mutated	5.498941798941799
CLOCK	PER3	39	43	18	3.0658135283363803	16.56	6.301308664303791e-12	2.3629907491139217e-11	Co-mutated	5.8711985688729875
ARNTL	PER2	36	54	19	3.553930530164534	15.2	8.170485669916676e-12	2.940039301661518e-11	Co-mutated	5.34619341563786
CLOCK	NR1D2	39	20	13	1.4259597806215722	35.785714285714285	8.330111354707635e-12	2.940039301661518e-11	Co-mutated	9.116666666666667
CSNK1D	PER3	26	43	15	2.043875685557587	24.00974025974026	9.027952877689384e-12	3.0952981294935037e-11	Co-mutated	7.3389982110912335
CLOCK	NPAS2	39	45	18	3.2084095063985374	15.26984126984127	1.6403932050420967e-11	5.3201941785149075e-11	Co-mutated	5.610256410256411
NPAS2	TIMELESS	45	39	18	3.2084095063985374	15.26984126984127	1.6403932050420967e-11	5.3201941785149075e-11	Co-mutated	5.610256410256411
CSNK1D	PER2	26	54	16	2.56672760511883	20.33684210526316	2.25651350359327e-11	7.125832116610326e-11	Co-mutated	6.233618233618234
PER1	RORC	44	36	17	2.895795246800731	16.03898635477583	2.966213841564921e-11	9.126811820199756e-11	Co-mutated	5.870580808080809
NR1D2	PER1	20	44	13	1.6087751371115173	29.714285714285715	4.992835349089484e-11	1.4978506047268453e-10	Co-mutated	8.080681818181818
