Gene1	Gene2	Observed_CoMutation	Burden_Adjusted_Expected	Observed_Expected_Ratio	Permutation_P	FDR	Direction
PER1	PER2	26	13.5287	1.9218402359428473	9.999000099990002e-05	0.011998800119988001	Enriched
PER2	PER3	26	13.5075	1.9248565611697206	0.00029997000299970003	0.011998800119988001	Enriched
NPAS2	PER3	25	13.4116	1.8640579796593992	0.00029997000299970003	0.011998800119988001	Enriched
NPAS2	PER2	25	13.4927	1.8528537653694221	0.0004999500049995	0.014998500149985002	Enriched
PER3	TIMELESS	23	13.4509	1.709922756098105	0.0014998500149985001	0.031996800319968	Enriched
PER2	TIMELESS	23	13.5028	1.7033504162099713	0.0015998400159984002	0.031996800319968	Enriched
PER2	RORC	23	13.5346	1.6993483368551712	0.0025997400259974	0.04456697187424114	Enriched
PER1	PER3	21	13.4853	1.5572512291161487	0.0110988901109889	0.16648335166483352	Enriched
PER1	TIMELESS	20	13.4582	1.4860828342571815	0.0212978702129787	0.24324840243248405	Enriched
PER3	RORB	20	13.4178	1.4905573193817168	0.022097790220977902	0.24324840243248405	Enriched
ARNTL	PER3	20	13.4094	1.4914910435962832	0.022297770222977704	0.24324840243248405	Enriched
CRY2	PER3	20	13.456	1.4863258026159334	0.025097490250974904	0.2473598793966757	Enriched
NPAS2	PER1	20	13.4441	1.4876414189123852	0.026797320267973202	0.2473598793966757	Enriched
NPAS2	RORB	19	13.4	1.417910447761194	0.044295570442955706	0.3041695830416959	Enriched
PER2	RORA	19	13.4735	1.4101755297435707	0.04459554044595541	0.3041695830416959	Enriched
CSNK1D	NPAS2	19	13.4343	1.4142902868031828	0.04559544045595441	0.3041695830416959	Enriched
CLOCK	PER1	19	13.4798	1.409516461668571	0.04709529047095291	0.3041695830416959	Enriched
ARNTL	PER1	19	13.4514	1.4124923799753186	0.04789521047895211	0.3041695830416959	Enriched
ARNTL	PER2	19	13.466	1.41096093866033	0.0481951804819518	0.3041695830416959	Enriched
CLOCK	PER2	19	13.5317	1.4041103482932669	0.05069493050694931	0.3041695830416959	Enriched
NPAS2	TIMELESS	18	13.4244	1.3408420488066506	0.08399160083991601	0.3848186609910437	Enriched
CLOCK	NPAS2	18	13.468	1.3365013365013365	0.08489151084891511	0.3848186609910437	Enriched
ARNTL	NPAS2	18	13.412	1.3420817178645987	0.08539146085391461	0.3848186609910437	Enriched
PER1	RORA	18	13.4376	1.339524915163422	0.08539146085391461	0.3848186609910437	Enriched
PER3	RORA	18	13.4442	1.3388673182487616	0.0882911708829117	0.3848186609910437	Enriched
CLOCK	RORB	18	13.4333	1.339953697155576	0.0892910708929107	0.3848186609910437	Enriched
CLOCK	PER3	18	13.4519	1.3381009374140456	0.0893910608939106	0.3848186609910437	Enriched
CRY2	PER2	18	13.5051	1.332829819845836	0.0897910208979102	0.3848186609910437	Enriched
CRY2	NPAS2	17	13.4383	1.2650409650030139	0.1498850114988501	0.5272615595583299	Enriched
PER1	RORC	17	13.4807	1.2610621110179738	0.15098490150984903	0.5272615595583299	Enriched
PER1	RORB	17	13.4229	1.2664923377213568	0.1511848815118488	0.5272615595583299	Enriched
CRY1	NPAS2	17	13.3976	1.2688839792201587	0.1513848615138486	0.5272615595583299	Enriched
CRY1	PER2	17	13.4769	1.2614176850759447	0.15178482151784822	0.5272615595583299	Enriched
CRY2	PER1	17	13.4775	1.2613615284733817	0.15258474152584742	0.5272615595583299	Enriched
PER2	RORB	17	13.4608	1.262926423392369	0.15378462153784622	0.5272615595583299	Enriched
CRY1	PER3	16	13.42	1.1922503725782414	0.23697630236976303	0.7773276726381416	Enriched
CSNK1E	NPAS2	16	13.4315	1.1912295722741317	0.23967603239676033	0.7773276726381416	Enriched
CSNK1D	PER2	16	13.5376	1.181893393215932	0.24847515248475152	0.7846583762676365	Enriched
RORA	TIMELESS	15	13.4087	1.1186766800659274	0.35266473352664734	1.0	Enriched
CSNK1D	PER3	15	13.4814	1.1126440874093195	0.35576442355764426	1.0	Enriched
NR1D2	PER2	15	13.5025	1.1109053878911312	0.35826417358264173	1.0	Enriched
CSNK1E	PER2	15	13.5261	1.1089671080355756	0.36436356364363565	1.0	Enriched
ARNTL	RORB	14	13.4002	1.0447605259622992	0.47795220477952205	1.0	Enriched
CRY2	TIMELESS	14	13.4458	1.0412173318062146	0.48385161483851613	1.0	Enriched
NPAS2	RORC	14	13.4621	1.0399566189524665	0.48555144485551444	1.0	Enriched
CLOCK	TIMELESS	14	13.4716	1.0392232548472342	0.48695130486951305	1.0	Enriched
CLOCK	CRY1	14	13.4615	1.0400029714370613	0.48995100489951005	1.0	Enriched
CLOCK	RORC	14	13.4823	1.0383984928387588	0.49195080491950804	1.0	Enriched
CRY2	RORB	13	13.4262	0.9682560962893447	0.6098390160983902	1.0	Depleted
ARNTL	CRY1	13	13.4454	0.9668734288306782	0.6133386661333866	1.0	Depleted
CLOCK	NR1D2	13	13.4727	0.9649142339694345	0.6159384061593841	1.0	Depleted
RORB	TIMELESS	13	13.4238	0.968429207824908	0.6164383561643836	1.0	Depleted
NR1D2	PER1	13	13.4702	0.9650933170999688	0.6195380461953804	1.0	Depleted
NR1D1	PER1	13	13.4472	0.9667440061871616	0.6214378562143785	1.0	Depleted
CSNK1D	PER1	13	13.4728	0.9649070720266018	0.6217378262173783	1.0	Depleted
ARNTL	CRY2	13	13.464	0.9655377302436126	0.6224377562243776	1.0	Depleted
RORB	RORC	13	13.481	0.9643201542912246	0.6225377462253775	1.0	Depleted
ARNTL	TIMELESS	13	13.452	0.9663990484686292	0.6227377262273772	1.0	Depleted
CLOCK	RORA	13	13.472	0.9649643705463183	0.623037696230377	1.0	Depleted
RORC	TIMELESS	13	13.4834	0.9641485085364226	0.6231376862313769	1.0	Depleted
PER3	RORC	13	13.4631	0.965602275850287	0.6252374762523748	1.0	Depleted
RORA	RORB	12	13.412	0.8947211452430659	0.7326267373262674	1.0	Depleted
NPAS2	RORA	12	13.4089	0.8949279955850219	0.7351264873512648	1.0	Depleted
ARNTL	RORA	12	13.3816	0.89675375141986	0.7358264173582642	1.0	Depleted
NR1D2	PER3	12	13.4267	0.8937415746236975	0.7372262773722628	1.0	Depleted
CSNK1E	PER1	12	13.4279	0.8936617043618139	0.7372262773722628	1.0	Depleted
CRY1	TIMELESS	12	13.4543	0.8919081631894636	0.738026197380262	1.0	Depleted
NPAS2	NR1D2	12	13.4408	0.8928039997619189	0.7393260673932607	1.0	Depleted
ARNTL	CLOCK	12	13.4881	0.8896731192680957	0.7399260073992601	1.0	Depleted
NR1D1	PER3	12	13.4374	0.8930299016178724	0.742025797420258	1.0	Depleted
CSNK1E	PER3	12	13.4931	0.889343442203793	0.742025797420258	1.0	Depleted
CSNK1D	RORB	12	13.4621	0.8913913876735428	0.7426257374262574	1.0	Depleted
CLOCK	CSNK1D	12	13.4733	0.8906503974527399	0.7426257374262574	1.0	Depleted
CRY1	RORA	12	13.4446	0.8925516564271158	0.7427257274272573	1.0	Depleted
CRY2	RORA	11	13.4161	0.8199104061538003	0.8346165383461653	1.0	Depleted
NPAS2	NR1D1	11	13.43	0.8190618019359642	0.8363163683631637	1.0	Depleted
NR1D1	PER2	11	13.4786	0.8161084979152138	0.8373162683731626	1.0	Depleted
CRY2	RORC	11	13.4687	0.8167083682909264	0.8375162483751625	1.0	Depleted
