Gene1	Gene2	Observed_CoMutation	FixedMargin_Expected	Null_SD	Observed_Expected_Ratio	Permutation_Z	Permutation_P	FDR	Direction
CSNK1D	NPAS2	19	18.4574	0.9337410921892236	1.0293974232557133	0.5811032678532281	0.533046695330467	0.9057555782883251	Enriched
PER2	RORC	23	22.4974	1.1158484448056454	1.0223403593304115	0.45041959088587713	0.5332466753324667	0.9057555782883251	Enriched
NPAS2	PER3	25	24.5409	1.0626571008615155	1.018707545363047	0.43203023781405936	0.5509449055094491	0.9057555782883251	Enriched
PER3	TIMELESS	23	22.5352	1.0397447123725567	1.0206255103127553	0.44703280956282976	0.5563443655634437	0.9057555782883251	Enriched
CRY2	PER3	20	19.5339	0.9055013988273722	1.0238610825283225	0.5147424406009776	0.5774422557744225	0.9057555782883251	Enriched
PER3	RORB	20	19.5958	0.9735076433768619	1.0206268690229539	0.41519961630494	0.5848415158484151	0.9057555782883251	Enriched
CRY1	NPAS2	17	16.6307	0.9532095104629851	1.0222059203761718	0.38742794311884876	0.5947405259474052	0.9057555782883251	Enriched
CSNK1E	NPAS2	16	15.6569	0.9851291478500646	1.0219136610695603	0.3482792086182584	0.5961403859614038	0.9057555782883251	Enriched
ARNTL	PER3	20	19.6806	1.03609410243419	1.0162291800046748	0.30827315709027414	0.6001399860013998	0.9057555782883251	Enriched
ARNTL	PER1	19	18.69	1.0800077044466703	1.0165864098448367	0.2870349894020652	0.6020397960203979	0.9057555782883251	Enriched
CLOCK	RORB	18	17.6435	0.9487348205773716	1.0202057414912007	0.3757635877463054	0.6036396360363964	0.9057555782883251	Enriched
NPAS2	RORB	19	18.6843	1.0046563807811826	1.016896538805307	0.3142367938324578	0.6112388761123888	0.9057555782883251	Enriched
CLOCK	NR1D2	13	12.6228	0.8546304460525216	1.0298824349589633	0.44136035843593063	0.6174382561743825	0.9057555782883251	Enriched
PER1	PER2	26	25.74	1.0758790599203785	1.0101010101010102	0.241662850115554	0.6175382461753824	0.9057555782883251	Enriched
PER2	PER3	26	25.7493	1.0690948537808225	1.0097361870031418	0.23449743408024573	0.6265373462653735	0.9057555782883251	Enriched
PER2	TIMELESS	23	22.7888	1.0659775751952205	1.0092677104542582	0.198127995292324	0.6388361163883611	0.9057555782883251	Enriched
CSNK1D	CSNK1E	11	10.7234	0.8766808409733231	1.0257940578547848	0.31550820671854624	0.647035296470353	0.9057555782883251	Enriched
CLOCK	CRY1	14	13.7548	0.9459209462971335	1.0178265042021695	0.25921827924400154	0.6495350464953504	0.9057555782883251	Enriched
CRY2	PER1	17	16.7854	0.8996820453795206	1.0127849202282937	0.23852871256253005	0.6735326467353264	0.9057555782883251	Enriched
NPAS2	PER2	25	24.9153	1.0962874142347256	1.003399517565512	0.07726076109258924	0.6756324367563243	0.9057555782883251	Enriched
CRY2	NPAS2	17	16.7902	0.9087719992686094	1.012495384212219	0.23086098621970183	0.6761323867613239	0.9057555782883251	Enriched
CRY1	PER2	17	16.8449	0.9472770045622017	1.0092075346247233	0.16373246606116307	0.6764323567643236	0.9057555782883251	Enriched
PER1	RORA	18	17.8596	0.9885269640004037	1.0078613182826044	0.142029509677535	0.6778322167783222	0.9057555782883251	Enriched
PER1	RORC	17	16.9206	1.0679933056766306	1.0046925049939128	0.07434503528998766	0.6805319468053195	0.9057555782883251	Enriched
NR1D2	PER1	13	12.7683	0.8176074597236864	1.0181465034499502	0.2833878253487363	0.6828317168283171	0.9057555782883251	Enriched
PER3	RORA	18	17.8826	0.9977558777973538	1.0065650408777247	0.11766405251269703	0.6845315468453155	0.9057555782883251	Enriched
PER1	TIMELESS	20	19.8726	1.0120630746977763	1.0064108370318932	0.12588148227623647	0.6854314568543146	0.9057555782883251	Enriched
NR1D1	PER1	13	12.8361	0.9197398448138548	1.012768675843909	0.17820256556697453	0.6868313168683132	0.9057555782883251	Enriched
