Gene1	Gene2	Observed_CoMutation	FixedMargin_Expected	Null_SD	Observed_Expected_Ratio	Permutation_Z	Permutation_P	FDR	Direction
CRY2	PER3	20	13.6609	2.245131455288343	1.4640323843963428	2.8234872328158924	0.0034996500349965005	0.41995800419958007	Enriched
CSNK1D	NPAS2	19	13.2636	2.2183793996330006	1.432491932808589	2.5858516360857866	0.008599140085991401	0.5159484051594841	Enriched
PER3	TIMELESS	23	17.827	2.4621285928482233	1.2901778201604306	2.101027547881162	0.028097190280971903	0.8255174482551746	Enriched
NPAS2	PER3	25	19.8029	2.560723983706966	1.2624413595988466	2.0295432202249892	0.0334966503349665	0.8255174482551746	Enriched
PER3	RORB	20	15.315	2.3244171939497336	1.3059092393078682	2.0155590021424166	0.034396560343965606	0.8255174482551746	Enriched
CLOCK	NR1D2	13	9.5739	1.9700068230055114	1.3578583440395242	1.7391310324362337	0.0714928507149285	0.9998000199980002	Enriched
CLOCK	RORB	18	14.2725	2.3222366434760326	1.261166579085654	1.605133572614935	0.08049195080491951	0.9998000199980002	Enriched
NR1D2	PER2	15	11.7859	2.0129745146523	1.2727072179468688	1.596691849104294	0.08649135086491351	0.9998000199980002	Enriched
CRY1	NPAS2	17	13.6607	2.238632765253329	1.2444457458256166	1.491669402784836	0.1024897510248975	0.9998000199980002	Enriched
PER2	RORC	23	19.5706	2.449370445963239	1.175232236109266	1.4001148767234988	0.1141885811418858	0.9998000199980002	Enriched
PER2	PER3	26	22.4031	2.599593464105083	1.1605536733755597	1.3836394227272932	0.11548845115488451	0.9998000199980002	Enriched
CRY2	PER1	17	13.9092	2.2659807648968884	1.2222126362407615	1.3640009870695633	0.12288771122887711	0.9998000199980002	Enriched
NPAS2	RORB	19	15.765	2.3590954904694543	1.2052013954963527	1.3712882810675215	0.12468753124687532	0.9998000199980002	Enriched
ARNTL	PER3	20	16.7924	2.4256732321281254	1.1910149829684857	1.3223545354399873	0.1327867213278672	0.9998000199980002	Enriched
NR1D2	PER1	13	10.366	2.0033585162258034	1.2540999421184642	1.314792124657889	0.141985801419858	0.9998000199980002	Enriched
CRY2	NPAS2	17	14.1189	2.2855382645048525	1.2040598063588523	1.260578326228186	0.14808519148085192	0.9998000199980002	Enriched
PER1	PER2	26	22.8133	2.645929553922483	1.1396860603244598	1.204378247816857	0.15498450154984503	0.9998000199980002	Enriched
CRY1	PER3	16	13.2852	2.235790874854714	1.2043476951795984	1.2142459433628439	0.1618838116188381	0.9998000199980002	Enriched
CSNK1D	NR1D2	9	6.9603	1.8543645210091997	1.2930477134606266	1.0999455484027139	0.2014798520147985	0.9998000199980002	Enriched
CSNK1E	NPAS2	16	13.7017	2.223693232251049	1.1677383098447638	1.0335508363594854	0.20887911208879112	0.9998000199980002	Enriched
CSNK1D	CSNK1E	11	9.0093	1.9721060900070828	1.220960562973816	1.0094284532090516	0.22607739226077392	0.9998000199980002	Enriched
CSNK1D	PER3	15	12.8369	2.204265017738757	1.168506415100219	0.981324832809357	0.22617738226177383	0.9998000199980002	Enriched
CRY2	PER2	18	15.8472	2.2908463409176463	1.1358473421172195	0.9397400260104963	0.23227677232276772	0.9998000199980002	Enriched
CRY2	RORB	13	10.9863	2.174439037663013	1.1832919181161994	0.9260779286616524	0.24267573242675733	0.9998000199980002	Enriched
PER2	TIMELESS	23	20.8215	2.531023183978326	1.1046274283793194	0.860719101188073	0.2565743425657434	0.9998000199980002	Enriched
NR1D2	PER3	12	10.2185	1.9984887154333826	1.1743406566521504	0.891423597362506	0.26207379262073793	0.9998000199980002	Enriched
CRY2	CSNK1D	11	9.2831	2.025676362717561	1.184948993331969	0.8475687585635253	0.26947305269473054	0.9998000199980002	Enriched
ARNTL	PER1	19	17.0462	2.4088681625573574	1.114617920709601	0.8110863144647001	0.275972402759724	0.9998000199980002	Enriched
CSNK1D	RORB	12	10.3202	2.12035882627333	1.1627681634076859	0.7922244005050593	0.2836716328367163	0.9998000199980002	Enriched
PER1	TIMELESS	20	18.1401	2.513424699562737	1.10252975452175	0.7399863621629755	0.294970502949705	0.9998000199980002	Enriched
NPAS2	PER2	25	23.1449	2.6555995953684532	1.080151566867863	0.6985616367902078	0.30356964303569645	0.9998000199980002	Enriched
CLOCK	CRY1	14	12.3819	2.2085606543666403	1.1306826900556457	0.7326491109948848	0.30496950304969506	0.9998000199980002	Enriched
CRY1	PER2	17	15.3911	2.2573104206186403	1.1045344387340736	0.7127508849930635	0.3130686931306869	0.9998000199980002	Enriched
NPAS2	NR1D2	12	10.5279	2.0154969146047526	1.1398284558173994	0.7303905996247503	0.3197680231976802	0.9998000199980002	Enriched
NR1D2	TIMELESS	11	9.552	2.001423635729569	1.1515912897822447	0.723485010444662	0.32196780321967805	0.9998000199980002	Enriched
PER3	RORA	18	16.4317	2.4132379662495316	1.0954435633561956	0.6498737471950732	0.3261673832616738	0.9998000199980002	Enriched
PER1	RORB	17	15.5256	2.36052999349405	1.0949657340135002	0.6246054928612013	0.3387661233876612	0.9998000199980002	Enriched
PER1	PER3	21	19.5226	2.5359677350540806	1.0756763955620665	0.5825783899291184	0.3511648835116488	0.9998000199980002	Enriched
ARNTL	CRY1	13	11.6804	2.167469868893973	1.1129755830279784	0.608820458792985	0.3555644435556444	0.9998000199980002	Enriched
PER1	RORA	18	16.6933	2.44500161825945	1.0782769134922394	0.5344372740866381	0.3702629737026297	0.9998000199980002	Enriched
