Gene	Significant_Cancer_Count	Enriched_Cancer_Count	Depleted_Cancer_Count	Best_FDR	Max_OR
TIMELESS	7	3	4	0.0013810169500324	2.934259910860896
PER3	7	2	5	0.0018463695434242	2.862273040680303
RORB	5	3	2	0.0002715255016103	7.490719164323021
CSNK1E	4	2	2	0.0008716677134803	3.883176124942014
NPAS2	4	2	2	0.0031298025094559	4.136054421768708
PER2	4	1	3	0.0012800064446914	2.527340043038347
RORA	3	1	2	0.0008716677134803	3.691995947315096
ARNTL	3	1	2	0.0012825114242378	3.6914637738071865
PER1	3	1	2	0.0025881197630665	2.860603318250377
RORC	3	1	2	0.0037251011093469	6.39739184069081
NR1D2	2	2	0	0.0018463695434242	4.212083333333333
CLOCK	2	0	2	0.0154176492259966	0.0
NR1D1	1	1	0	0.0010482568994891	4.32258064516129
CSNK1D	1	1	0	0.0141370387675862	3.277837037037037
CRY1	1	0	1	0.0084785084763304	0.0889772727272727
CRY2	0	0	0	1.0	1.0
