Cancer_Type	TIMELESS	NPAS2	CRY1	CRY2	ARNTL	CSNK1D	CSNK1E	PER1	PER2	PER3	RORA	RORB	RORC	CLOCK	NR1D1	NR1D2
lung squamous cell carcinoma	15	15	6	5	5	4	1	11	11	11	8	7	11	7	5	2
thyroid carcinoma	1	3	1	0	0	1	0	0	0	0	0	1	0	0	0	0
bladder urothelial carcinoma	20	14	4	7	7	6	9	7	10	10	8	8	9	10	3	12
thymoma	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1
kidney chromophobe	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
prostate adenocarcinoma	3	3	0	3	0	0	3	2	4	1	3	1	0	2	3	2
pheochromocytoma & paraganglioma	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0
diffuse large B-cell lymphoma	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
sarcoma	2	0	2	4	0	2	1	5	2	3	0	2	2	1	1	1
liver hepatocellular carcinoma	9	5	5	2	1	1	4	5	6	4	2	3	1	2	1	4
adrenocortical cancer	0	1	0	1	0	2	0	1	0	3	2	1	2	0	0	0
cervical & endocervical cancer	8	6	4	5	5	6	2	8	9	11	2	5	6	5	4	2
head & neck squamous cell carcinoma	9	4	6	4	3	3	9	8	3	6	4	5	3	6	1	4
mesothelioma	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
uterine carcinosarcoma	2	1	1	1	1	0	0	0	1	0	0	1	1	0	0	1
testicular germ cell tumor	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0
lung adenocarcinoma	12	7	8	7	5	7	4	14	11	11	7	13	2	5	2	1
esophageal carcinoma	4	4	2	2	1	3	2	4	3	5	2	4	2	0	3	2
glioblastoma multiforme	3	4	2	2	1	1	0	3	3	3	1	3	4	4	1	1
uterine corpus endometrioid carcinoma	39	45	27	28	36	26	27	44	54	43	35	32	36	39	24	20
breast invasive carcinoma	7	6	1	3	2	2	4	8	11	6	2	4	5	11	5	2
ovarian serous cystadenocarcinoma	1	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0
skin cutaneous melanoma	4	6	0	1	1	0	1	2	4	4	0	9	7	2	2	3
stomach adenocarcinoma	22	14	10	8	15	6	12	7	19	20	16	15	10	12	13	12
kidney papillary cell carcinoma	5	2	1	1	2	1	4	3	8	3	4	4	2	2	1	1
pancreatic adenocarcinoma	2	1	1	0	3	1	0	2	1	1	1	2	2	1	0	1
colon adenocarcinoma	18	12	9	7	9	11	15	19	12	16	9	15	10	12	7	9
rectum adenocarcinoma	0	1	3	0	2	1	1	1	2	1	1	0	2	1	1	1
uveal melanoma	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
kidney clear cell carcinoma	1	2	2	0	1	0	1	5	5	2	2	1	2	1	0	1
brain lower grade glioma	4	1	1	0	0	2	1	3	1	1	0	4	1	1	1	1
cholangiocarcinoma	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
