skin cutaneous melanoma	104	33	31.73
bladder urothelial carcinoma	412	116	28.16
uterine corpus endometrioid carcinoma	547	154	28.15
stomach adenocarcinoma	478	105	21.97
lung squamous cell carcinoma	506	107	21.15
cervical & endocervical cancer	308	62	20.13
lung adenocarcinoma	520	90	17.31
esophageal carcinoma	185	31	16.76
colon adenocarcinoma	461	76	16.49
liver hepatocellular carcinoma	377	53	14.06
head & neck squamous cell carcinoma	528	72	13.64
kidney papillary cell carcinoma	291	38	13.06
uterine carcinosarcoma	57	5	8.77
adrenocortical cancer	92	7	7.61
sarcoma	261	19	7.28
diffuse large B-cell lymphoma	48	3	6.25
rectum adenocarcinoma	167	9	5.39
breast invasive carcinoma	1101	58	5.27
kidney clear cell carcinoma	536	26	4.85
prostate adenocarcinoma	498	23	4.62
kidney chromophobe	66	3	4.55
thymoma	124	5	4.03
testicular germ cell tumor	150	6	4.00
pancreatic adenocarcinoma	185	7	3.78
glioblastoma multiforme	594	21	3.54
mesothelioma	87	3	3.45
pheochromocytoma & paraganglioma	179	5	2.79
cholangiocarcinoma	36	1	2.78
brain lower grade glioma	516	13	2.52
uveal melanoma	80	2	2.50
thyroid carcinoma	507	6	1.18
ovarian serous cystadenocarcinoma	592	5	0.84
Cancer_Type	Primary_Patients	CLOCK16_Mutated_Patients	Prevalence_Percent
