gene	Mutation_Events	Mutated_Tumors	Missense	Nonsense	Frameshift_Del	Frameshift_Ins	Splice_Site	InFrame_Del	InFrame_Ins	Silent
TIMELESS	245	214	147	14	2	1	5	2	1	62
PER2	262	201	155	9	8	1	4	0	0	70
PER3	255	198	142	16	5	1	1	0	0	60
PER1	245	193	155	5	9	2	1	0	0	54
NPAS2	221	177	117	7	3	0	4	1	0	46
RORB	203	173	91	13	0	1	2	1	0	50
RORC	169	151	82	3	2	2	1	1	0	45
CLOCK	171	133	74	13	5	2	5	1	0	28
RORA	142	123	65	8	7	1	3	0	0	27
ARNTL	126	112	64	4	1	1	4	0	0	32
CRY2	126	108	74	6	0	0	1	1	0	25
CSNK1E	122	108	61	1	4	0	0	4	0	21
CRY1	124	104	65	12	2	1	2	0	0	27
CSNK1D	112	98	49	1	8	0	0	0	0	24
NR1D2	107	94	67	4	4	0	3	2	0	23
NR1D1	96	85	56	2	3	1	0	0	0	19
