cancer_type	All_Primary_Tumors	Clock16_Mutated_Tumors	Clock16_Prevalence_Percent
uterine corpus endometrioid carcinoma	547	154	28.154
bladder urothelial carcinoma	412	116	28.155
lung squamous cell carcinoma	506	107	21.146
stomach adenocarcinoma	478	105	21.967
lung adenocarcinoma	520	90	17.308
colon adenocarcinoma	461	76	16.486
head & neck squamous cell carcinoma	528	72	13.636
cervical & endocervical cancer	308	62	20.13
breast invasive carcinoma	1101	58	5.268
liver hepatocellular carcinoma	377	53	14.058
kidney papillary cell carcinoma	291	38	13.058
skin cutaneous melanoma	104	33	31.731
esophageal carcinoma	185	31	16.757
kidney clear cell carcinoma	536	26	4.851
prostate adenocarcinoma	498	23	4.618
glioblastoma multiforme	594	22	3.704
sarcoma	261	19	7.28
brain lower grade glioma	516	13	2.519
rectum adenocarcinoma	167	9	5.389
adrenocortical cancer	92	7	7.609
pancreatic adenocarcinoma	185	7	3.784
testicular germ cell tumor	150	6	4
thyroid carcinoma	507	6	1.183
ovarian serous cystadenocarcinoma	592	5	0.845
pheochromocytoma & paraganglioma	179	5	2.793
thymoma	124	5	4.032
uterine carcinosarcoma	57	5	8.772
diffuse large B-cell lymphoma	48	3	6.25
kidney chromophobe	66	3	4.545
mesothelioma	87	3	3.448
uveal melanoma	80	2	2.5
cholangiocarcinoma	36	1	2.778
