Gene_A,Gene_B,Both_Mutated_n,Gene_A_Only_n,Gene_B_Only_n,Neither_Mutated_n,Odds_Ratio,Log2_Odds_Ratio,P_Value_Fisher,Tendency,FDR_q_Value,Statistical_Significance
ARNTL,PER3,35,70,157,1032,3.287,1.717,5.027184316179612e-07,Co-occurrence,6.032621179415534e-05,Significant (FDR < 0.05)
CRY2,PER3,30,68,162,1034,2.816,1.494,4.01129536355876e-05,Co-occurrence,0.0018683444654487766,Significant (FDR < 0.05)
ARNTL,RORA,24,81,105,1084,3.059,1.613,4.6708611636219415e-05,Co-occurrence,0.0018683444654487766,Significant (FDR < 0.05)
ARNTL,NR1D2,20,85,80,1109,3.262,1.706,6.374420318504608e-05,Co-occurrence,0.0019123260955513823,Significant (FDR < 0.05)
ARNTL,RORB,26,79,125,1064,2.801,1.486,8.778301601467679e-05,Co-occurrence,0.002106792384352243,Significant (FDR < 0.05)
ARNTL,CSNK1D,16,89,59,1130,3.443,1.784,0.00017266268648969606,Co-occurrence,0.0031354070264861837,Significant (FDR < 0.05)
ARNTL,NPAS2,27,78,140,1049,2.594,1.375,0.00019376437099385063,Co-occurrence,0.0031354070264861837,Significant (FDR < 0.05)
ARNTL,CRY1,19,86,81,1108,3.022,1.596,0.00020902713509907893,Co-occurrence,0.0031354070264861837,Significant (FDR < 0.05)
CRY1,CSNK1D,15,85,60,1134,3.335,1.738,0.0003438979903858561,Co-occurrence,0.004294901839625874,Significant (FDR < 0.05)
NR1D2,PER3,28,72,164,1030,2.442,1.288,0.0003579084866354895,Co-occurrence,0.004294901839625874,Significant (FDR < 0.05)
CLOCK,NR1D2,24,132,76,1062,2.541,1.345,0.0005816052790444648,Co-occurrence,0.005905373909301945,Significant (FDR < 0.05)
CSNK1D,NR1D1,13,62,70,1149,3.442,1.783,0.0005905373909301945,Co-occurrence,0.005905373909301945,Significant (FDR < 0.05)
PER1,PER3,43,141,149,961,1.967,0.976,0.0010528605418052652,Co-occurrence,0.009718712693587064,Significant (FDR < 0.05)
