Gene A,Gene B,Both Mutated n,Gene A Only n,Gene B Only n,Neither Mutated n,Odds Ratio,Log2 Odds Ratio,Unadjusted Fisher P,Unadjusted Fisher FDR,Unadjusted Significance,Permutation Observed/Expected Ratio,Permutation TMB-Adjusted FDR,Permutation TMB-Adjusted Significance
ARNTL,PER3,35,70,157,1032,3.287,1.717,5.027184316179612e-07,6.032621179415534e-05,Significant (FDR < 0.05),0.8217827206486605,1.0,Not Significant (FDR >= 0.05)
CRY2,PER3,30,68,162,1034,2.816,1.494,4.01129536355876e-05,0.0018683444654487,Significant (FDR < 0.05),1.481544192346766,1.0,Not Significant (FDR >= 0.05)
ARNTL,RORA,24,81,105,1084,3.059,1.613,4.670861163621942e-05,0.0018683444654487,Significant (FDR < 0.05),0.6710058377507885,1.0,Not Significant (FDR >= 0.05)
ARNTL,NR1D2,20,85,80,1109,3.262,1.706,6.374420318504608e-05,0.0019123260955513,Significant (FDR < 0.05),1.1860989206499823,1.0,Not Significant (FDR >= 0.05)
ARNTL,RORB,26,79,125,1064,2.801,1.486,8.778301601467679e-05,0.0021067923843522,Significant (FDR < 0.05),1.1976047904191618,1.0,Not Significant (FDR >= 0.05)
ARNTL,CSNK1D,16,89,59,1130,3.443,1.784,0.0001726626864896,0.0031354070264861,Significant (FDR < 0.05),0.8581481163648845,1.0,Not Significant (FDR >= 0.05)
ARNTL,NPAS2,27,78,140,1049,2.594,1.375,0.0001937643709938,0.0031354070264861,Significant (FDR < 0.05),1.4982395685070042,1.0,Not Significant (FDR >= 0.05)
ARNTL,CRY1,19,86,81,1108,3.022,1.596,0.000209027135099,0.0031354070264861,Significant (FDR < 0.05),0.0,1.0,Not Significant (FDR >= 0.05)
CRY1,CSNK1D,15,85,60,1134,3.335,1.738,0.0003438979903858,0.0042949018396258,Significant (FDR < 0.05),0.6572893387669252,1.0,Not Significant (FDR >= 0.05)
NR1D2,PER3,28,72,164,1030,2.442,1.288,0.0003579084866354,0.0042949018396258,Significant (FDR < 0.05),0.3809233582203261,1.0,Not Significant (FDR >= 0.05)
