TCGA Cohort,Full Cancer Name,Total Analyzed (N),Clock-Mutant (n),Wild-Type (n),Deaths Mutant (n),Deaths Wild-Type (n),Unadjusted OS HR (95% CI),Unadjusted OS P,TMB-Adjusted OS HR (95% CI),TMB-Adjusted OS P,Evaluation Status
ACC,Adrenocortical Carcinoma,91,4,87,2,31,NA,NA,NA,NA,Excluded (insufficient mutant count < 10 or 0 deaths)
BLCA,Bladder Urothelial Carcinoma,433,107,326,40,155,0.67 (0.47 - 0.94),0.0224,0.89 (0.60 - 1.30),0.5359,Evaluated (primary major solid tumor cohort)
BRCA,Breast Invasive Carcinoma,913,50,863,6,144,0.79 (0.35 - 1.80),0.5731,0.66 (0.28 - 1.53),0.3318,Evaluated (primary major solid tumor cohort)
CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,280,41,239,10,59,0.93 (0.47 - 1.81),0.8199,1.28 (0.60 - 2.74),0.5204,Evaluated (exploratory cohort)
CHOL,Cholangiocarcinoma,45,0,45,0,23,NA,NA,NA,NA,Excluded (insufficient mutant count < 10 or 0 deaths)
COAD,Colon Adenocarcinoma,331,81,250,26,58,1.11 (0.70 - 1.77),0.6534,0.95 (0.53 - 1.71),0.8611,Evaluated (primary major solid tumor cohort)
DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,36,3,33,1,4,NA,NA,NA,NA,Excluded (insufficient mutant count < 10 or 0 deaths)
ESCA,Esophageal Carcinoma,203,27,176,10,73,1.07 (0.55 - 2.08),0.8310,1.00 (0.50 - 2.02),0.9991,Evaluated (exploratory cohort)
GBM,Glioblastoma Multiforme,321,18,303,13,234,0.99 (0.57 - 1.74),0.9845,0.99 (0.56 - 1.77),0.9859,Evaluated (exploratory cohort)
HNSC,Head and Neck Squamous Cell Carcinoma,582,72,510,27,239,0.74 (0.49 - 1.10),0.1308,0.66 (0.44 - 0.99),0.0447,Evaluated (primary major solid tumor cohort)
KICH,Kidney Chromophobe,89,4,85,4,8,NA,NA,NA,NA,Excluded (insufficient mutant count < 10 or 0 deaths)
KIRC,Kidney Renal Clear Cell Carcinoma,626,31,595,14,173,1.98 (1.15 - 3.42),0.0138,1.13 (0.60 - 2.13),0.7000,Evaluated (primary major solid tumor cohort)
KIRP,Kidney Renal Papillary Cell Carcinoma,339,36,303,4,52,0.69 (0.25 - 1.92),0.4789,0.71 (0.25 - 1.98),0.5126,Evaluated (primary major solid tumor cohort)
LGG,Brain Lower Grade Glioma,520,15,505,3,128,0.65 (0.21 - 2.06),0.4665,0.01 (0.00 - 0.17),0.0013,Evaluated (exploratory cohort)
LIHC,Liver Hepatocellular Carcinoma,412,41,371,16,142,0.91 (0.54 - 1.53),0.7161,0.82 (0.48 - 1.38),0.4518,Evaluated (primary major solid tumor cohort)
